colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
4,0,153.496,330,0,N,N,N,N,287.636,0.181818,2,167.09091,65.272727,12.545455,6.636
4,29,165.421,330,0,N,C,C,C,144.091,0.0909091,4.36364,201.09091,190.63636,85.363636,2.455
4,50,161.45,246,0,N,N,NA,NA,333.727,0.181818,1.54545,251.90909,107.45455,30.636364,16.45
4,52,170.848,57,0,N,N,N,NA,324.545,0,0.818182,238.54545,142.09091,32.818182,17.45
4,63,151.4,246,0,N,N,N,F,250.182,0,0.0909091,165.90909,109.72727,28.545455,5
4,127,143.757,85,0,N,C,C,F,208.273,0.0909091,0.818182,129.81818,95.363636,41.818182,4.364
4,137,140.801,330,0,N,C,N,NA,449.364,0.0909091,4.72727,176.81818,128.36364,39.363636,9.727
4,139,150.546,330,0,N,N,N,N,447.455,0.0909091,2.45455,159.36364,75.090909,18.636364,13.91
4,156,173.046,40,0,N,N,N,N,372.182,0.181818,1.90909,230.09091,88.636364,26.454545,21.55
4,159,153.264,40,0,N,N,N,NA,159.455,0,0.181818,145.36364,85.727273,22.818182,11.18
4,169,161.83,40,0,N,N,N,NA,129.727,0.181818,1.72727,193.36364,92,29.181818,21.45
4,173,161.505,330,0,N,N,N,N,290.273,0,0.727273,214.81818,101.36364,27.818182,14.09
4,178,178.18,330,0,N,N,N,N,61.8182,0,3.63636,189.72727,134.81818,41.636364,11.36
4,190,179.694,57,0,N,C,N,C,409.455,0,0.181818,162.09091,134.90909,55.818182,11.27
4,191,138.398,71,0,N,N,N,N,1215.64,1.90909,3.54545,316.63636,220.45455,98.090909,19.55
4,218,172.699,351,0,N,C,C,C,75.1818,0,1.18182,164.81818,129.27273,34.454545,6.636
4,242,149.482,330,0,N,N,N,C,229,0,1.18182,231.18182,101.45455,21.272727,13
4,380,140.118,40,0,N,N,N,N,202.091,0,0.454545,104,60.818182,23.454545,2
4,390,163.444,330,0,N,N,N,N,161.091,0.363636,3.36364,151.45455,64.454545,14.818182,11.73
4,394,151.182,330,0,N,C,C,F,115.818,0.363636,0.818182,124,102.54545,44.818182,3.727
4,437,167.335,40,0,N,C,NA,NA,73.4545,0.272727,3.18182,186.09091,132,47.090909,11
4,538,150.376,57,0,N,N,N,N,1121,0.0909091,3.63636,231.63636,83.363636,18.272727,31.18
4,552,147.98,246,0,N,N,N,NA,348.455,0.454545,20.8182,197.18182,151.54545,61.636364,6.091
4,593,152.895,57,0,N,C,C,F,87.8182,0,1.81818,132.09091,137.63636,51.454545,3.182
4,620,141.45,57,0,N,C,NA,NA,137.909,0.909091,4.63636,161.63636,169.36364,68.363636,8.636
18,0,238.346,14,0,N,N,NA,NA,3.36364,0,1.72727,1230.1818,203.36364,42.181818,76.64
18,2,184.708,139,0,N,C,C,F,30.6364,4.27273,5.63636,594,154.63636,42.090909,9.818
18,5,160.863,50,0,N,N,NA,NA,124.636,0.363636,61.6364,690.54545,106.09091,23.727273,10.36
18,6,167.529,64,0,N,N,C,C,75.2727,3.54545,3.27273,499.81818,148.72727,62,12.36
18,15,154.945,40,0,N,N,N,N,95.2727,0,1.54545,610.90909,88.272727,21.454545,9.727
18,26,148.189,40,0,N,N,NA,NA,76.8182,0.545455,0,318.81818,58.909091,19.272727,1
18,30,146.154,71,0,N,N,C,NA,30.6364,0.181818,3.63636,540.18182,132.27273,48.272727,5.909
18,32,169.118,14,0,N,N,N,NA,167.909,0.181818,2.27273,562.81818,101,23.727273,5.455
18,38,246.658,40,0,N,N,NA,NA,1.36364,0,0.181818,597.81818,235.27273,71.727273,8.273
18,44,178.135,64,0,N,N,N,NA,116.091,2.90909,7.63636,951.18182,197.90909,50.181818,11.91
18,50,163.049,50,0,N,N,N,N,133.818,0,2.18182,457.90909,41.545455,8.0909091,4
18,52,148.122,14,0,N,N,N,N,978.545,0,13.8182,445.09091,31,5.2727273,16.91
18,60,177.282,71,0,N,N,N,N,18.3636,0.727273,1.81818,625.54545,82.454545,18.454545,36.64
18,62,150,40,0,N,N,N,NA,519.455,1,1.90909,459.09091,40.909091,7,6.545
