Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,5,1,10,29,0,19,6,7,1,1,6,7,30,17,35,0,20,14,13,25,12,1,21,17,6,4,25,6,1,16,21,0,4,10,10,0,8,39,5,6,0,19,22,0,4,22,7,6,4,14,7,19,10,5,25,6,28,0,1,15,37,5,2,8,0,8,10,0,0,11,7,2,5,4,1,9,14,13,6,18,5,12,17,8,5,1,7,29,5,1,2,8,4,17,3,28,0,16,3,17,12,14,9,0,5,0,0,0,10,3
5,0,0,0,7,0,2,0,2,0,4,2,0,7,3,16,0,10,5,10,3,0,0,16,8,21,0,14,7,1,6,33,0,0,0,1,0,0,41,10,0,7,8,3,0,14,5,6,1,0,4,3,7,0,8,7,3,0,0,0,5,7,19,0,0,0,8,8,0,0,2,1,0,1,4,0,1,15,12,0,13,1,4,6,2,10,0,7,7,8,2,0,1,13,3,0,1,1,2,0,2,3,1,0,8,2,0,0,0,14,6
1,0,0,0,1,0,0,0,1,0,6,1,6,6,5,5,0,6,3,4,1,2,0,3,2,0,0,0,3,0,3,18,0,2,2,0,0,0,30,1,1,0,3,0,3,1,6,2,4,0,3,1,3,2,4,7,1,0,0,0,2,8,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,7,3,0,1,0,1,2,5,2,0,3,1,0,2,1,0,6,7,8,1,0,0,1,8,1,1,2,0,1,0,0,0,2,10
10,0,0,0,0,0,7,2,7,5,0,5,0,1,3,2,2,0,2,1,10,0,0,0,6,0,0,9,6,6,1,7,0,4,0,0,0,1,7,0,0,0,1,0,0,2,0,5,1,8,1,11,1,3,1,0,9,0,0,0,7,3,2,0,5,0,0,4,0,0,3,2,0,8,1,0,2,4,1,4,11,3,1,7,1,14,23,3,2,0,1,2,6,3,0,0,5,1,10,0,0,1,16,7,1,4,0,0,0,0,1
29,7,1,0,0,0,9,1,1,1,1,17,3,17,13,13,0,14,13,11,1,3,0,16,5,0,0,13,2,1,3,19,0,2,18,1,0,0,24,0,0,2,5,3,1,14,4,2,3,2,3,2,6,15,3,34,0,7,0,0,4,21,22,0,2,0,1,10,0,0,13,0,2,0,2,0,13,12,9,0,15,0,9,18,4,6,2,0,5,10,2,0,0,0,8,2,8,1,6,0,0,9,7,5,0,9,0,0,0,10,10
0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,17,18,0,0,0,0,27,28,0,0,3,23,0,0,25,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,28,9,0,0,0,9,41,64,0,0,31,21,0,0,14,0,7,26,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,22,0,0,0,0,15,0,27,0,0,0,6,0,0,1,19,0,0,0
19,2,0,7,9,0,0,2,36,1,0,16,4,13,14,2,1,9,6,7,15,8,0,12,14,24,3,42,16,9,15,5,0,2,3,8,0,4,13,1,2,0,8,19,7,10,2,16,3,0,3,11,1,5,7,9,11,20,0,0,11,30,4,0,14,0,4,11,0,0,18,0,0,1,0,0,8,4,3,0,4,1,6,12,2,15,8,6,6,5,0,0,5,7,1,8,7,2,5,2,0,7,25,17,9,30,0,0,0,23,5
6,0,0,2,1,0,2,0,40,0,2,9,0,4,3,1,0,0,2,3,0,11,0,18,10,10,9,20,1,2,17,1,0,1,4,2,0,2,22,2,2,0,2,13,2,3,1,23,2,5,0,2,3,8,4,0,3,19,0,0,7,7,10,1,2,0,7,17,0,0,3,0,1,5,7,0,10,11,16,8,10,2,0,8,0,1,6,0,6,1,8,2,1,4,0,0,6,5,0,0,1,12,5,2,25,3,0,0,0,18,8
7,2,1,7,1,0,36,40,0,5,0,20,7,16,17,0,7,1,0,1,5,9,0,9,26,7,21,43,25,11,5,0,0,1,2,17,0,2,2,9,3,0,8,10,0,14,4,22,4,3,7,20,0,4,9,12,7,12,0,0,23,5,1,12,9,0,2,13,0,0,2,11,2,19,9,1,0,3,3,12,2,7,2,16,2,15,18,2,15,2,5,7,18,17,2,0,2,3,1,7,1,1,19,6,16,23,1,0,0,18,1
1,0,0,5,1,33,1,0,5,0,0,0,0,0,1,0,27,1,0,0,5,2,4,0,4,0,16,8,1,2,1,0,34,16,0,1,8,16,2,0,13,0,0,0,0,1,0,2,1,5,0,0,1,0,0,0,3,0,29,42,2,0,0,17,72,38,2,3,40,43,2,9,3,1,8,27,3,2,4,8,3,1,2,0,0,9,4,0,2,0,1,0,48,3,1,0,2,6,2,19,0,6,6,29,1,10,5,32,0,0,1
1,4,6,0,1,0,0,2,0,0,0,0,10,19,1,19,0,5,22,7,1,0,0,31,0,0,0,2,2,0,3,18,0,0,13,0,0,0,13,0,1,0,2,0,8,3,3,4,1,0,0,1,2,14,20,1,1,7,0,0,9,22,7,0,0,0,0,14,0,0,0,0,0,0,0,0,3,8,5,0,12,0,12,7,1,1,0,2,3,1,0,0,2,6,15,1,4,0,0,0,2,0,0,0,0,3,0,0,0,6,8
6,2,1,5,17,0,16,9,20,0,0,0,21,3,7,14,1,1,1,1,14,20,0,7,10,10,4,12,4,5,9,15,0,4,7,4,0,0,20,7,1,0,5,9,3,14,4,11,5,5,8,7,11,6,5,9,3,8,0,1,8,20,9,0,2,0,10,16,0,0,5,0,0,2,0,0,11,17,11,1,16,13,5,14,0,16,3,4,4,27,5,1,0,5,7,0,14,7,6,1,5,12,15,8,7,12,0,0,0,28,3
7,0,6,0,3,0,4,0,7,0,10,21,0,14,12,1,0,7,8,1,3,28,0,7,15,5,0,5,5,0,0,8,0,1,8,6,0,0,32,9,3,8,7,33,8,3,10,3,1,2,5,3,1,8,7,7,0,4,0,0,7,6,1,0,0,0,3,8,0,0,11,0,0,1,4,1,0,10,3,1,1,1,12,1,5,0,3,2,2,1,0,0,3,20,1,5,1,0,2,1,0,3,2,0,2,6,0,0,0,1,0
