Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,16,9,1,15,40,8,7,10,3,8,21,11,8,12,11,0,14,6,15,6,0,17,14,0,30,2,20,12,1,5,24,4,12,6,10,20,5,1,10,4,2,0,44,0,3,6,5,4,12,2,2,8,10,1,5,3,26,25,7,11,8,23,24,9,16,19,0,14,12,1,6,12,17,20,0,0,0,3,1,9,2,4,2,14,3,6,13,0,4,20,18,9,8,8,14,4,17,13,24,12,6,0,6,4,7,2,11,8,10,3,19,8,16,14,4,3,2,9,16,16,8,6,13,10,0,25,1,1,27,9
16,0,14,4,12,32,23,7,1,1,22,1,7,13,10,31,5,12,24,31,17,0,15,21,0,29,7,7,17,1,7,31,3,0,2,2,37,0,0,6,8,8,0,9,20,6,0,13,2,26,4,11,7,10,2,13,0,7,4,0,16,3,7,12,10,8,45,0,24,2,0,1,7,11,16,1,0,0,9,0,0,2,0,1,4,5,0,4,0,9,22,10,31,28,12,14,8,44,0,38,10,8,2,33,44,23,0,25,22,2,5,19,3,22,11,6,1,2,5,28,7,4,0,2,12,2,40,0,3,47,21
9,14,0,1,1,8,0,7,1,0,6,0,1,7,2,3,0,4,1,17,4,0,1,0,0,30,2,2,3,0,0,6,4,2,1,18,12,0,0,19,2,0,0,22,27,3,22,6,0,5,0,5,7,27,0,11,0,1,4,0,1,1,2,11,0,2,1,0,11,0,0,0,46,4,4,1,1,0,15,0,0,0,0,11,2,4,3,4,0,0,11,12,18,1,4,15,14,3,9,11,2,2,0,2,9,0,1,16,3,1,4,3,0,7,10,5,0,3,0,15,3,2,0,4,11,0,2,1,5,25,18
1,4,1,0,3,43,2,1,21,1,0,0,1,0,6,0,2,3,3,0,0,0,0,5,0,6,14,0,2,11,8,5,13,8,6,0,4,7,1,2,1,1,0,4,0,2,0,0,4,0,12,1,0,1,13,1,2,3,3,3,1,16,1,1,4,10,0,0,7,4,0,2,0,7,3,0,1,0,1,3,4,1,6,1,4,9,7,11,0,0,1,0,1,0,3,1,0,0,0,2,4,4,5,2,1,3,2,0,0,0,1,6,2,0,3,4,9,16,20,0,8,11,14,0,4,4,1,6,0,3,0
15,12,1,3,0,21,1,6,1,1,1,9,15,10,7,2,2,8,12,6,2,0,3,21,2,1,18,7,7,3,6,5,4,8,2,7,17,2,8,8,9,7,1,5,0,4,3,0,9,4,2,15,2,2,1,1,11,9,6,3,6,12,0,8,5,11,16,1,5,5,4,3,2,11,3,3,0,0,2,7,18,1,11,6,2,24,3,7,3,9,13,7,7,9,0,0,2,0,0,2,41,17,0,20,9,7,0,6,8,7,12,5,6,5,0,12,9,8,18,1,10,1,15,0,9,1,7,4,4,1,0
40,32,8,43,21,0,15,23,42,21,22,17,13,21,56,13,31,22,24,21,28,0,22,20,10,36,27,29,22,15,12,35,36,26,46,11,39,11,24,35,14,18,25,36,15,22,12,26,26,19,34,15,15,25,24,23,19,13,5,22,15,38,11,28,38,27,25,24,16,19,28,17,17,34,13,24,23,0,24,28,38,4,38,7,22,21,31,34,8,20,19,20,49,27,13,26,14,24,14,23,21,18,14,45,26,23,12,24,27,12,31,27,28,17,22,12,38,44,29,41,49,25,12,19,48,8,16,33,9,38,13
8,23,0,2,1,15,0,13,11,2,24,7,8,8,7,32,2,7,17,18,16,0,4,9,0,20,3,19,20,3,3,18,6,12,4,7,40,1,0,1,3,3,0,20,5,11,4,8,1,18,0,24,12,8,0,22,7,5,7,5,22,12,6,26,16,9,33,0,18,7,0,7,2,5,23,0,0,0,4,1,13,0,3,0,6,4,2,3,1,3,19,20,13,3,18,19,4,24,2,15,4,3,1,14,7,16,5,5,10,1,0,29,2,23,2,5,3,5,14,42,12,3,4,0,19,0,6,2,11,17,8
7,7,7,1,6,23,13,0,1,0,9,4,0,1,9,13,2,18,2,1,0,0,3,15,0,13,0,5,0,0,4,11,0,0,3,5,23,0,4,0,0,1,3,9,4,13,2,13,3,30,1,6,14,18,0,15,5,15,4,3,12,5,0,17,8,9,37,2,22,3,0,4,3,26,20,2,0,0,4,1,18,0,1,2,2,6,1,1,0,3,9,6,14,11,2,8,13,12,2,7,7,0,5,11,8,12,3,8,21,3,2,5,1,22,3,10,2,5,2,57,7,6,1,0,18,0,0,0,7,44,2
10,1,1,21,1,42,11,1,0,1,2,1,0,10,2,2,3,1,4,0,3,0,2,17,0,3,15,1,10,0,8,19,9,15,6,0,7,10,6,0,6,3,2,1,0,4,0,1,3,0,10,1,1,0,8,3,8,3,6,8,0,7,0,1,4,9,2,2,1,11,0,9,0,2,1,0,0,0,0,5,16,0,12,0,8,7,24,26,0,2,0,4,0,6,7,1,1,1,0,0,16,9,6,6,0,21,4,0,0,5,1,6,19,3,0,3,9,4,30,0,10,6,19,0,5,1,2,0,1,4,0
3,1,0,1,1,21,2,0,1,0,0,7,0,0,10,0,20,0,5,3,1,37,1,10,22,0,1,0,4,25,2,1,14,7,31,0,4,4,48,0,3,11,14,0,0,10,1,1,12,1,0,2,0,0,25,0,20,10,0,13,0,10,1,3,2,13,0,6,2,16,35,5,0,1,2,2,16,24,2,10,10,9,37,0,5,8,9,28,12,4,2,1,1,1,1,0,0,0,1,0,6,3,15,0,0,2,6,0,0,1,2,1,5,0,2,6,53,1,7,2,16,1,17,1,24,27,3,14,0,4,1
