Ant52,Ant65,Ant244,Ant2,Ant6,Ant7,Ant15,Ant19,Ant30,Ant60,Ant72,Ant99,Ant102,Ant148,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant518,Ant604,Ant673,Ant12,Ant20,Ant32,Ant35,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant265,Ant289,Ant294,Ant296,Ant298,Ant305,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant575,Ant592,Ant593,Ant599,Ant607,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,1,3,1,8,0,9,1,3,9,0,4,7,2,1,0,4,4,10,0,0,0,1,0,0,7,0,19,9,0,4,4,2,19,0,0,0,0,5,0,0,2,1,0,4,0,0,15,3,3,0,0,0,4,0,0,0,2,0,0,0,1,11,0,0,3,0,0,1,0,8,0,6,5,1,2,0,1,0,0,3,0,2,0,2,0,0,0,2,2
1,0,1,2,0,4,0,3,0,0,0,3,0,0,8,0,0,1,0,2,12,4,0,0,2,2,2,2,1,2,2,0,0,3,6,6,1,9,0,0,4,1,0,0,0,0,0,8,1,3,0,0,0,0,0,11,3,3,2,0,0,0,3,4,0,1,13,0,2,11,1,2,0,1,13,4,3,1,0,5,0,0,2,6,3,0,0,0,4,0
3,1,0,7,0,4,1,18,4,1,0,8,4,0,10,0,1,4,6,0,2,3,5,0,2,7,1,4,1,3,0,0,6,0,4,9,0,4,0,5,7,8,2,0,0,0,0,8,3,12,0,0,1,3,0,8,0,3,5,0,3,1,9,1,0,0,15,1,1,3,2,5,3,0,3,14,5,14,0,11,0,9,0,0,1,0,0,0,6,0
1,2,7,0,5,11,0,7,6,7,2,0,2,1,0,0,1,9,8,19,12,4,1,0,2,0,7,9,0,13,0,1,2,0,1,10,1,9,1,4,8,7,2,0,0,0,0,32,2,9,2,24,0,17,1,15,0,4,2,0,15,5,4,6,7,0,8,0,3,3,2,3,2,4,0,2,0,0,0,8,0,7,1,7,0,0,0,0,1,0
8,0,0,5,0,2,0,3,3,1,4,1,4,0,0,0,0,8,5,15,12,2,4,0,1,2,4,4,0,5,0,0,27,0,0,9,0,12,0,22,7,0,7,0,19,0,0,0,5,20,3,1,0,14,2,7,5,7,22,0,3,0,1,7,5,0,1,0,9,1,5,10,0,3,3,8,7,1,3,1,0,0,0,7,9,0,0,0,0,0
0,4,4,11,2,0,2,10,15,6,3,4,0,1,1,0,0,14,4,8,7,18,8,0,7,5,4,2,0,3,3,4,10,0,3,11,0,34,9,9,6,2,8,0,8,0,0,5,2,6,2,6,1,26,0,28,7,5,8,0,20,13,2,2,9,2,9,0,9,4,9,5,3,1,7,4,1,1,10,2,3,1,5,5,13,0,0,0,6,1
9,0,1,0,0,2,0,6,1,13,0,4,3,29,1,0,8,6,7,0,0,0,9,0,1,12,2,8,3,0,11,5,1,14,6,0,0,4,2,9,0,2,7,0,13,0,0,0,2,2,0,0,8,7,0,0,6,1,1,0,0,8,0,0,2,2,4,8,0,1,1,0,3,6,2,1,1,3,4,1,3,5,0,2,7,0,0,0,18,0
1,3,18,7,3,10,6,0,9,0,1,5,6,4,5,0,0,2,18,0,13,6,2,0,4,2,7,21,1,0,1,1,8,5,5,0,1,9,1,7,12,5,6,0,0,0,0,1,11,2,0,0,8,2,0,9,2,0,7,0,5,11,7,0,13,12,2,11,2,0,7,4,3,9,12,4,7,3,2,2,4,7,7,0,24,0,0,0,16,2
3,0,4,6,3,15,1,9,0,19,0,13,13,2,4,0,7,5,13,3,1,4,10,0,7,4,11,6,2,3,0,0,8,6,8,6,0,2,2,2,10,3,3,0,8,0,0,12,2,4,0,0,5,12,0,8,2,6,5,0,4,10,18,2,5,7,11,2,4,0,5,4,5,7,0,5,5,10,0,6,0,14,7,7,8,0,0,0,20,10
9,0,1,7,1,6,13,0,19,0,0,8,20,8,3,0,20,0,27,0,0,10,13,0,0,6,1,11,22,0,2,0,5,6,0,7,0,0,2,5,6,5,1,0,7,0,0,9,16,1,1,0,2,13,0,7,4,1,0,0,0,10,19,0,0,14,3,6,1,0,4,0,2,3,1,7,7,7,0,4,4,4,5,1,3,0,0,1,24,3
0,0,0,2,4,3,0,1,0,0,0,0,0,0,0,30,0,2,4,60,7,0,0,10,19,0,15,0,0,14,0,0,2,0,0,12,2,13,0,11,4,0,0,3,0,18,0,0,0,7,19,25,0,0,17,14,3,0,26,18,4,0,0,17,0,0,0,0,0,14,0,12,0,0,7,0,1,0,7,0,0,0,0,13,0,0,29,0,1,0
4,3,8,0,1,4,4,5,13,8,0,0,5,0,2,0,2,12,45,0,0,0,7,0,0,2,0,1,0,0,0,0,6,2,0,7,0,2,1,3,3,2,12,0,14,0,0,5,7,3,0,0,0,2,0,5,2,1,4,0,4,2,19,0,13,0,0,0,5,0,2,0,0,18,0,1,0,1,0,1,0,9,6,5,5,0,0,1,11,0
7,0,4,2,4,0,3,6,13,20,0,5,0,7,0,0,5,3,6,0,1,0,1,0,0,8,3,33,12,0,4,2,4,13,0,0,0,1,6,11,1,7,8,0,1,0,0,1,6,0,0,0,1,6,0,1,0,0,0,0,0,0,15,0,4,4,0,2,2,0,6,0,7,4,1,0,0,3,0,3,5,0,6,0,3,0,0,0,21,0
2,0,0,1,0,1,29,4,2,8,0,0,7,0,5,0,12,0,20,0,0,3,1,0,1,9,0,5,5,0,0,0,1,12,1,0,1,0,0,0,2,2,5,0,2,0,0,3,1,2,0,0,16,6,0,2,0,0,0,0,0,4,10,2,0,2,0,15,2,0,0,0,20,1,0,1,5,0,0,0,21,11,8,0,2,0,0,0,17,0
1,8,10,0,0,1,1,5,4,3,0,2,0,5,0,0,4,3,5,0,8,5,5,0,0,13,1,1,12,2,1,1,7,2,3,0,0,6,1,0,4,3,1,0,0,0,0,18,0,1,0,0,0,6,0,6,3,2,2,0,0,6,0,0,0,8,5,2,0,0,3,1,3,9,4,3,1,2,0,2,4,5,1,0,9,0,0,0,16,4
0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,110,3,0,0,12,5,0,0,0,0,40,0,0,0,0,0,31,3,7,0,0,0,0,0,4,0,37,1,0,0,0,77,8,0,0,28,0,0,0,9,20,17,0,0,4,0,0,0,0,0,40,0,1,0,0,0,0,0,0,1,0,0,0,0,11,0,1,40,0,0,0
4,0,1,1,0,0,8,0,7,20,0,2,5,12,4,0,0,0,15,0,0,7,6,0,0,15,0,1,8,0,4,1,1,8,0,0,0,3,3,0,0,1,2,0,0,0,0,2,16,0,0,0,20,8,0,0,3,2,0,0,0,2,1,0,0,6,0,6,0,1,0,0,13,0,1,10,1,5,0,6,84,3,12,0,5,0,0,0,67,1
4,1,4,9,8,14,6,2,5,0,2,12,3,0,3,0,0,0,5,8,2,4,8,0,5,0,11,4,1,12,0,0,5,3,1,23,0,15,0,24,17,0,4,0,6,0,0,9,2,11,0,2,1,9,0,13,0,2,20,0,33,0,8,2,23,1,2,2,10,0,3,3,0,5,2,2,7,0,8,4,0,14,3,5,4,0,0,0,2,0
10,0,6,8,5,4,7,18,13,27,4,45,6,20,5,0,15,5,0,0,2,2,6,0,0,0,0,2,4,0,0,0,12,1,0,6,0,3,0,9,9,0,1,0,0,0,0,8,1,3,0,0,1,15,0,4,2,0,9,0,4,0,2,0,0,0,1,0,1,1,0,0,3,7,3,0,0,0,2,9,1,3,2,0,12,0,0,6,4,0
0,2,0,19,15,8,0,0,3,0,60,0,0,0,0,110,0,8,0,0,12,7,0,50,11,0,23,0,0,54,0,0,5,0,0,34,4,21,0,36,16,0,0,86,9,42,2,0,0,6,102,57,0,51,17,26,0,2,22,71,58,0,0,4,1,0,3,0,2,9,0,13,0,0,1,2,0,1,34,1,0,0,0,60,20,2,40,0,0,0
0,12,2,12,12,7,0,13,1,0,7,0,1,0,8,3,0,2,2,12,0,4,9,4,26,0,9,6,1,26,0,0,0,2,6,11,4,9,0,8,7,4,6,4,4,1,0,15,3,13,1,4,1,0,7,16,0,2,10,2,4,1,0,5,1,5,1,1,5,19,0,10,2,5,9,1,1,0,2,4,0,15,2,11,12,0,2,0,2,0
