Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,1,0,1,0,0,3,12,4,2,0,0,0,4,0,0,10,2,0,2,6,4,0,0,0,0,3,0,8,0,0,1,4,1,0,0,1,0,8,2,2,4,3,2,0,3,0,1,0,8,4,0,2,0,18,4,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,3,0,14,0,5,1,1,0,0,3,0,0,0,0,2,0,3,0,0,0,1,2,0,2,1,0,0,4,2,0,0
1,0,0,0,2,0,7,0,1,0,0,0,0,0,2,11,0,1,8,0,5,0,1,0,1,0,0,1,2,12,0,0,12,1,25,0,1,2,0,0,0,9,3,1,8,0,1,0,1,3,3,1,4,0,0,2,22,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0
1,0,2,0,0,2,2,6,1,0,4,0,0,0,0,0,4,3,2,9,2,11,4,0,1,3,5,3,17,11,2,0,4,7,6,4,22,5,0,17,14,7,22,3,10,0,12,6,4,0,0,2,5,3,5,6,0,0,24
0,0,0,0,2,0,2,4,2,7,3,0,0,0,14,0,0,0,0,0,0,21,5,0,0,0,15,6,1,1,0,0,0,0,0,0,0,0,0,4,19,0,4,7,3,0,6,17,0,0,2,0,0,10,11,0,6,0,6
0,0,7,0,2,2,0,0,15,2,0,0,1,0,0,0,4,3,1,2,3,7,2,4,2,6,4,2,16,1,11,0,4,6,13,17,9,2,0,28,7,7,1,0,10,2,11,2,0,25,1,11,8,2,14,2,12,0,3
3,0,0,0,6,4,0,0,6,13,8,0,7,0,15,0,3,8,4,0,0,3,7,0,6,2,1,6,0,10,0,0,19,33,7,0,0,0,0,7,10,6,11,6,7,0,8,8,0,1,35,2,0,17,1,7,13,0,9
12,1,1,0,1,2,15,6,0,10,0,0,0,0,4,0,6,0,1,0,9,0,4,0,3,1,3,2,2,0,1,0,7,13,2,2,4,0,0,4,8,41,1,0,0,0,0,0,2,5,2,6,6,0,1,0,3,0,3
4,0,0,0,0,7,2,13,10,0,4,0,0,0,0,0,2,3,0,3,0,0,10,0,0,0,5,1,1,8,4,0,0,1,0,0,1,0,0,0,3,3,0,9,2,0,5,12,0,0,12,3,1,17,0,3,2,0,2
2,0,0,0,4,3,0,8,0,4,0,0,4,0,5,0,0,0,7,1,1,4,17,0,0,0,12,22,1,24,2,0,0,10,0,3,0,0,0,1,14,0,22,11,3,0,2,5,1,5,2,0,0,3,0,0,1,0,1
0,0,0,12,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,0,5,0,5,0,0,13,0,0,0,6,1,0,4,1,0,0,8,3,1,0,0,0,3,1,1,8,3,1,0,0,0,0,3,4,0,0,19,2,14,19,0,37
0,0,0,18,0,0,0,0,0,0,0,34,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,32,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,45,0
4,0,2,0,0,14,0,15,4,0,5,0,0,0,0,0,1,6,7,0,0,13,4,0,8,0,0,1,1,7,0,0,1,6,5,0,0,0,0,4,6,1,1,0,0,0,2,0,0,1,5,4,0,0,8,1,4,0,0
0,0,11,0,0,0,0,0,0,0,0,3,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,6,0,1,0,19,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,21,0
0,0,0,0,4,0,4,3,6,2,0,0,0,0,1,0,0,11,2,4,0,5,3,28,7,0,0,0,20,2,14,0,15,1,7,7,53,6,14,15,0,6,0,0,0,7,0,0,4,0,0,0,32,0,4,2,0,0,0
10,0,1,0,3,0,3,8,0,3,0,0,5,0,6,4,11,0,7,14,1,15,3,0,7,22,11,2,6,8,28,0,2,3,10,0,4,1,0,6,5,5,9,1,9,0,9,5,1,0,0,4,5,0,11,5,7,0,8
2,2,8,0,2,0,1,4,1,0,7,0,0,0,7,1,2,7,0,2,1,0,0,3,0,0,0,0,6,4,3,0,14,1,22,0,14,1,0,0,1,3,6,0,7,18,0,0,0,0,0,6,5,0,0,2,11,0,0
0,0,0,0,9,0,2,0,0,3,1,0,5,0,0,0,4,14,2,0,0,8,3,1,1,0,1,2,0,1,5,0,2,0,1,8,9,0,0,1,0,0,16,2,0,0,3,0,2,0,7,2,0,15,9,10,3,0,0
2,4,5,0,2,0,3,0,9,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,10,1,9,5,0,2,5,2,0,0,1,0,3,5,0,3,0,5,0,0,1,1,14,6,0,0,0,0,0,0,0,0
6,0,0,0,11,21,7,3,0,0,4,0,0,0,13,0,5,15,0,8,0,0,7,1,17,17,0,1,0,0,8,0,0,0,0,5,18,4,0,5,2,1,0,6,0,0,14,0,0,0,2,6,5,0,37,1,0,0,0
4,0,1,0,4,5,2,7,4,10,17,0,13,0,4,0,3,3,0,3,2,7,0,0,0,0,16,3,1,7,1,0,2,19,2,1,1,0,0,0,12,0,4,19,0,0,20,18,0,7,14,1,1,12,13,3,13,0,2
0,0,0,25,0,0,4,0,0,0,0,18,0,28,0,0,28,0,3,1,1,1,0,0,1,7,0,6,17,0,11,0,26,0,1,6,15,20,15,0,0,0,0,0,0,23,0,0,3,0,0,3,16,0,10,0,0,39,0
0,0,1,0,1,0,2,6,3,0,0,0,0,0,8,0,7,7,0,1,0,17,0,1,0,0,0,0,2,0,8,0,1,0,2,6,2,4,0,6,13,3,0,0,6,0,0,0,0,1,0,2,1,0,4,4,0,0,0
0,0,0,0,3,0,6,2,1,0,0,0,0,0,0,0,0,22,0,0,0,17,0,7,0,0,0,0,7,0,4,0,8,2,3,16,17,28,1,31,3,0,0,0,0,6,27,0,12,1,0,0,32,0,8,0,0,0,0
0,0,0,0,5,15,4,1,3,5,12,0,6,0,0,0,0,11,0,1,0,0,16,0,0,0,0,2,1,10,8,0,0,12,3,1,0,0,0,0,3,0,7,43,0,0,12,20,1,0,6,0,0,16,26,1,4,0,16
3,1,1,0,3,6,2,6,2,1,22,0,1,0,1,0,0,2,0,2,10,1,3,6,0,0,2,0,4,12,11,0,1,10,6,0,1,0,1,9,4,7,15,8,6,0,0,1,1,13,16,3,9,0,1,9,4,0,22
0,3,2,4,17,1,16,0,2,1,1,4,0,32,1,6,20,6,6,0,1,0,1,17,2,7,1,4,0,1,8,0,13,0,5,6,8,3,20,7,1,7,0,0,1,6,1,1,18,0,0,5,7,0,2,0,5,12,0
8,0,12,0,11,1,1,10,0,8,24,0,4,0,7,0,2,8,4,1,9,0,7,0,0,0,10,12,1,0,3,0,6,11,5,0,0,5,0,0,7,1,20,1,11,0,0,18,3,6,1,10,1,0,0,6,8,0,2
0,14,0,0,2,0,11,0,1,4,2,0,1,0,0,4,14,28,3,5,5,8,1,11,8,4,8,11,8,3,0,0,2,1,1,13,23,1,2,1,0,2,2,2,10,10,2,0,4,0,3,11,12,0,30,3,8,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12,0,4,0,4,19,7,0,0,0,0,0,1,0,15,2,14,2,2,0,2,26,1,8,0,1,13,6,2,0,0,1,19,3,19,5,0,0,0,3,0,1,2,0,0,0,34,3,0,0,31,0,4,0,32,0,0
4,1,1,0,7,0,6,33,13,1,10,0,8,0,6,0,1,3,1,0,5,0,19,0,0,2,12,10,0,11,1,0,1,0,6,1,0,4,0,18,38,1,4,2,19,1,6,4,0,1,43,0,0,3,0,10,5,0,4
1,1,25,0,6,0,13,7,2,0,0,0,3,0,5,6,7,10,22,1,2,0,2,1,2,3,3,6,5,5,1,0,19,6,0,8,27,3,0,3,2,23,2,0,0,5,2,1,5,3,3,3,5,0,4,15,10,0,0
0,0,0,0,4,0,17,0,2,0,3,0,1,0,0,0,7,0,0,8,0,5,1,6,6,16,1,0,6,0,13,0,3,1,8,0,2,30,0,3,5,18,1,3,0,8,2,1,9,1,1,0,24,2,32,0,0,0,2
0,0,1,1,22,0,9,0,4,1,0,4,0,4,0,1,53,4,14,9,0,18,1,15,2,17,0,1,8,0,23,0,19,0,27,2,0,3,3,2,0,6,0,1,1,27,0,0,10,0,0,7,36,0,11,1,0,16,0
1,3,2,0,5,0,2,0,0,0,0,0,0,0,0,0,6,1,1,0,1,4,0,20,4,28,0,0,3,5,1,0,5,4,3,30,3,0,0,10,3,0,0,2,3,2,0,0,1,0,0,3,6,0,0,1,4,0,0
0,0,0,18,0,0,0,0,0,0,0,15,0,17,0,19,14,0,0,0,0,0,0,15,0,1,0,1,20,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,3,0,0,29,0
8,0,0,0,17,4,28,7,4,0,1,0,3,0,4,0,15,6,0,1,3,5,0,0,6,31,0,9,7,0,1,0,0,18,3,3,2,10,0,0,7,2,0,1,1,0,7,0,2,3,3,6,0,0,2,1,0,0,0
2,0,0,0,14,19,7,10,8,3,14,0,1,0,6,0,0,5,1,0,5,2,12,0,13,3,3,4,1,7,0,0,0,38,2,5,0,3,0,7,0,2,4,2,2,0,23,16,0,2,2,2,1,20,0,3,3,0,8
2,0,9,0,7,0,7,6,41,3,0,0,1,0,1,0,6,5,3,0,0,1,0,0,3,0,0,7,7,1,2,0,3,1,23,18,6,0,0,2,2,0,5,0,5,0,0,0,2,11,1,17,7,0,1,2,13,0,0
4,2,3,0,22,4,1,11,1,0,22,0,8,0,1,0,0,9,6,16,3,0,4,0,0,0,7,15,0,20,2,0,0,4,2,1,0,0,0,0,4,5,0,14,3,0,4,7,0,2,17,0,0,15,0,1,0,0,8
3,0,1,0,3,7,0,6,0,9,11,0,3,0,0,0,0,1,0,2,0,6,19,0,0,0,43,8,0,1,2,0,1,2,0,3,1,2,0,1,2,0,14,0,7,0,29,9,0,0,22,1,0,5,0,0,0,0,9
2,3,8,0,10,3,10,7,0,2,3,0,1,0,0,0,0,9,7,0,5,0,0,0,6,0,0,6,1,11,10,0,2,19,0,0,1,3,0,1,2,5,3,7,0,0,8,11,1,4,7,0,2,0,6,6,6,0,9
0,0,0,14,0,0,2,0,0,0,0,2,0,7,0,2,7,0,18,0,0,0,0,23,0,6,0,0,6,0,10,0,0,1,5,8,27,2,11,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,0,6,0
3,0,1,0,12,6,11,8,0,5,2,0,0,0,2,0,0,9,0,3,0,14,20,0,0,27,12,0,1,0,2,0,0,6,2,2,0,0,0,7,23,0,4,29,8,0,0,30,3,0,9,0,1,20,1,3,2,0,11
