Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
0,0,3,0,0,11,1,0,0,0,14,41,0,0,6,0,0,4,0,0,0,19,3,0,1,9,2,0,5,0,0,0,9,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,2,0,0,0,1,7,0,0,0,0,0,4,0,7,0,0,0,5,0,0,0,0,1,0,0,8,0,2,1,0,13,0,1,5,1,5,0,0,3,0,7,0,0,0,9,1,4,0,0,1,0,4,0,0,0,0,11,0,4,1,14,0,2,0,0,2,0,0,0,0,10,3,0,4,0,0,0,3,0,0,0,0,0,19,5,5,1
0,0,9,0,1,15,0,0,0,0,3,13,1,1,1,0,0,1,0,0,0,7,7,0,0,18,0,0,2,0,0,0,10,0,0,6,0,4,3,0,5,0,0,0,0,1,1,0,0,1,14,8,0,0,1,0,0,2,0,12,1,1,0,1,0,3,0,0,2,3,0,6,0,0,2,0,0,0,0,6,0,1,0,1,1,1,8,3,1,1,0,0,4,0,3,0,1,0,6,1,1,0,0,8,0,5,0,0,0,0,1,0,8,0,14,1,2,0,0,2,9,4,0,0,43,3,0,14,0,0,0,2,0,0,0,0,3,4,4,13,4
3,9,0,1,6,14,0,6,1,2,14,14,5,8,5,1,9,2,2,1,0,9,16,4,0,5,6,0,6,5,8,0,15,3,0,14,2,9,6,1,34,0,2,0,1,5,2,0,5,8,16,4,8,0,0,1,1,18,2,10,4,1,0,4,1,5,5,6,4,19,0,13,0,4,6,0,1,3,0,10,2,1,2,5,21,0,23,11,8,7,3,4,8,4,0,0,3,3,12,5,13,2,0,21,6,7,2,3,3,0,12,1,13,0,32,4,6,0,6,5,4,6,3,1,5,5,1,24,0,0,1,20,6,0,2,0,6,10,17,5,3
0,0,1,0,5,2,11,13,9,6,1,0,9,3,0,6,8,1,58,3,4,0,4,6,1,0,7,3,2,12,15,2,0,8,5,5,23,5,5,15,5,15,4,8,1,2,5,0,20,0,2,2,4,3,9,2,9,1,9,7,4,17,17,22,1,0,18,7,30,7,10,0,2,5,0,1,0,21,12,0,3,4,5,17,0,1,2,2,16,1,3,7,0,11,0,0,17,32,0,1,4,3,0,0,6,3,10,21,4,3,2,1,3,6,0,11,3,0,4,7,0,8,8,0,0,0,12,4,4,3,0,6,2,2,5,4,6,2,2,0,24
0,1,6,5,0,1,4,5,0,7,2,0,6,0,0,14,5,6,7,0,0,0,2,2,1,12,0,0,1,1,1,0,1,0,0,12,0,12,16,4,2,0,0,2,0,5,17,0,6,0,9,7,3,1,1,0,4,20,3,20,1,3,2,14,6,17,3,3,3,8,3,24,0,7,13,0,0,0,1,0,0,10,4,3,1,1,19,12,5,2,0,3,0,5,8,0,14,1,8,2,5,0,0,12,0,3,6,1,0,0,10,1,13,0,3,1,0,0,4,9,12,2,0,0,3,12,5,5,0,0,0,4,0,0,0,0,5,5,1,0,9
11,15,14,2,1,0,0,4,0,1,16,57,1,4,40,12,0,4,0,0,0,19,29,0,0,16,3,0,4,0,0,0,29,1,0,2,0,0,7,4,9,0,0,0,0,8,2,0,0,9,16,1,0,0,8,0,0,14,0,6,1,0,0,1,3,2,0,11,1,1,0,16,0,1,2,0,6,0,0,11,0,1,8,2,29,0,16,3,4,9,0,0,5,1,16,0,2,0,21,10,5,0,0,5,0,0,0,5,0,0,42,0,31,0,21,0,9,0,5,2,4,1,0,0,65,13,0,26,1,0,0,8,0,0,0,0,4,28,12,27,0
1,0,0,11,4,0,0,1,0,9,0,0,11,0,0,5,3,0,13,0,0,0,0,2,52,5,3,0,4,8,0,6,0,11,0,2,7,13,4,1,12,3,2,1,2,1,3,1,3,0,0,4,3,2,1,10,2,18,19,10,8,3,1,7,5,2,9,0,9,16,0,5,1,4,2,0,0,3,0,0,2,0,2,8,0,34,0,2,4,3,1,2,0,5,0,3,12,7,0,0,4,1,0,6,6,7,5,9,0,5,5,0,0,2,1,2,2,3,0,0,2,2,4,0,0,2,3,2,1,0,0,5,1,0,0,9,2,1,0,0,4
0,0,6,13,5,4,1,0,3,3,0,1,4,3,0,4,21,0,1,3,3,0,12,3,2,2,15,3,0,2,3,1,0,1,1,4,2,4,2,5,3,5,8,3,4,8,1,1,4,0,2,0,1,4,2,3,9,5,6,10,3,5,12,9,3,0,17,2,9,3,2,3,6,17,6,0,0,19,2,0,7,2,13,4,2,8,4,0,5,1,3,1,0,8,0,2,4,0,0,1,3,0,2,3,6,1,5,11,14,3,2,0,9,8,0,7,6,7,3,0,2,13,3,2,0,0,4,10,3,1,2,5,5,0,0,5,6,6,0,0,17
0,0,1,9,0,0,0,3,0,0,1,0,0,6,0,0,21,0,9,14,15,0,0,13,17,1,4,1,1,3,3,15,0,2,58,0,6,1,0,5,4,6,5,21,7,3,0,0,7,1,1,0,5,6,0,3,4,6,2,2,12,27,5,10,0,0,15,2,1,4,3,0,7,3,0,17,0,12,17,0,7,0,4,1,0,8,0,1,5,0,15,3,0,2,0,5,1,6,0,0,1,17,11,1,7,3,9,5,2,11,0,3,0,1,0,1,2,10,2,0,0,1,5,8,0,0,9,0,13,13,7,3,19,8,14,4,0,2,0,0,10
0,0,2,6,7,1,9,3,0,0,1,0,11,1,0,3,2,2,3,0,0,1,4,12,1,9,19,0,4,3,2,1,0,3,0,0,4,1,14,0,2,1,12,2,0,5,7,0,1,0,6,5,2,0,2,1,1,16,5,8,4,2,6,6,3,0,6,4,7,6,5,5,3,3,3,0,0,3,4,0,2,8,0,10,0,2,17,1,4,1,1,1,0,6,0,2,7,1,0,3,11,0,0,5,0,3,1,3,2,1,6,0,11,1,0,6,2,0,5,4,10,2,0,0,5,4,1,1,0,0,1,7,3,0,1,2,5,4,0,0,27
