Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant161,Ant191,Ant196,Ant209,Ant227,Ant245,Ant252,Ant278,Ant308,Ant311,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant28,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant66,Ant68,Ant70,Ant71,Ant81,Ant85,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant173,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant313,Ant324,Ant331,Ant334,Ant342,Ant347,Ant356,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant437,Ant458,Ant462,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant530,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663,Ant665
0,7,10,12,3,5,0,5,2,2,3,2,1,4,2,5,1,6,0,0,1,4,6,1,6,0,3,0,9,0,9,0,2,0,0,1,16,0,2,1,2,1,5,4,3,3,3,2,0,1,0,1,0,2,12,1,2,0,0,0,0,0,6,0,6,2,2,5,3,5,0,2,0,1,3,2,0,6,0,0,6,4,22,1,1,2,0,0,0,6,0,7,3,4,5,4,7,1,0,11,2,5,2,0,2,2,1,0,2,2,8,0,1,9,0,0,4,8,0,2,5,8,4,0,8,3,0,4,7,7,5,4,1,9,4,4,0,2,2,2,0,3,2,5,3,5,0,0,1,2,0,0,0,3,4,10,3,2,3,5
7,0,11,7,0,3,0,0,1,0,1,6,4,0,1,4,0,1,0,0,0,1,3,1,1,4,10,4,1,0,7,0,0,0,1,11,2,0,4,0,2,9,0,4,0,0,0,0,4,1,0,0,0,5,6,0,0,0,0,0,1,0,1,0,3,3,1,0,0,1,0,1,1,7,3,0,0,0,0,1,2,2,0,0,5,5,0,1,0,2,0,0,5,0,16,1,7,3,0,11,0,5,0,3,4,1,9,0,0,1,3,0,0,8,0,0,8,0,12,0,0,0,0,0,7,0,0,5,0,3,0,6,0,13,7,2,3,2,0,0,0,21,15,6,0,2,0,0,0,6,0,0,0,0,0,12,10,2,0,3
10,11,0,8,3,22,0,10,6,4,6,35,1,1,11,6,0,5,0,2,4,4,7,11,5,1,16,3,13,0,14,4,6,8,6,7,4,12,3,12,10,4,12,18,10,2,7,1,9,2,5,0,0,4,17,3,8,3,6,3,6,1,8,4,6,5,5,4,6,6,3,6,6,9,5,6,5,6,3,4,12,16,7,1,14,8,3,5,2,11,3,3,9,7,25,2,19,7,9,21,3,17,6,2,2,9,21,1,4,4,15,1,10,21,1,5,17,9,8,2,11,4,7,7,10,2,6,6,11,9,5,9,1,23,20,7,11,5,4,4,4,12,11,14,4,10,1,2,2,7,0,6,1,1,10,9,8,9,1,9
12,7,8,0,8,10,3,6,9,7,12,3,1,2,11,10,0,11,1,1,2,0,5,3,15,4,12,8,9,0,18,3,5,1,3,6,19,3,1,8,1,2,8,7,10,20,4,3,1,7,22,1,1,6,18,6,2,1,2,0,5,1,5,3,17,7,3,2,5,8,0,3,5,6,9,4,2,0,2,3,0,7,9,2,3,3,2,11,3,5,1,4,2,20,3,8,10,8,3,16,11,4,0,9,6,2,4,0,3,3,10,3,4,12,1,2,7,4,5,0,0,9,7,2,4,5,1,4,10,2,6,16,1,8,10,2,10,2,0,8,1,25,2,28,3,10,3,1,1,1,3,1,4,3,2,6,10,3,9,2
3,0,3,8,0,0,3,3,11,6,3,5,4,3,2,0,20,0,6,4,6,0,1,15,2,6,1,6,7,0,16,0,6,0,3,3,4,16,7,6,16,2,12,1,6,18,11,4,4,8,2,2,3,5,8,19,4,6,3,5,2,0,3,1,0,10,14,3,3,10,0,5,4,1,5,5,13,3,0,7,2,1,1,6,0,6,5,2,2,7,3,11,4,4,2,8,2,1,2,0,7,2,4,1,1,18,0,3,3,7,2,3,9,2,5,4,9,5,2,4,5,8,11,8,11,4,2,14,11,0,3,5,2,2,7,17,3,1,5,16,5,2,0,7,2,0,1,2,3,9,4,6,10,20,5,4,2,5,8,5
5,3,22,10,0,0,0,4,6,0,5,23,0,1,7,46,0,6,1,0,0,36,17,0,5,0,27,1,3,0,7,0,0,11,1,18,12,0,0,0,1,18,2,28,2,4,0,0,0,0,14,1,1,2,9,5,0,0,4,0,4,0,7,0,5,2,0,2,1,1,2,1,0,13,7,0,1,17,0,5,9,6,4,1,30,9,0,1,0,11,0,1,6,1,30,0,14,2,0,22,2,13,0,0,1,2,20,0,0,2,6,2,7,11,0,0,15,3,48,0,3,4,2,0,25,1,0,6,3,8,1,7,0,11,62,4,6,28,2,3,0,12,23,13,2,5,0,0,0,6,0,0,1,0,1,7,8,0,0,2
0,0,0,3,3,0,0,0,14,10,3,1,23,3,1,0,7,0,17,8,12,0,0,13,0,17,0,0,6,0,8,1,9,0,10,0,0,23,2,4,5,0,10,1,2,40,3,7,2,1,1,3,16,3,1,0,6,9,2,2,1,3,0,9,3,1,15,29,18,9,0,0,16,0,2,4,1,2,9,25,0,1,1,4,0,0,1,3,5,0,10,1,3,3,0,13,1,2,8,3,10,0,12,7,0,4,0,10,1,3,0,0,3,0,10,14,2,0,0,2,3,2,0,16,0,14,1,3,5,0,4,6,26,0,0,4,3,0,2,17,8,0,0,0,2,0,4,19,8,8,10,4,14,18,0,0,1,2,26,1
5,0,10,6,3,4,0,0,5,2,15,0,6,5,6,2,4,8,0,0,3,1,2,5,2,3,9,9,9,3,23,1,8,2,1,6,24,1,6,1,7,0,10,7,7,11,20,0,3,0,5,1,2,12,10,13,0,3,2,0,4,1,11,0,3,20,1,8,0,2,14,11,0,10,4,1,4,18,2,2,25,15,3,0,6,29,1,10,1,3,0,0,2,10,8,0,9,1,5,4,0,7,2,2,9,7,17,2,0,14,11,1,2,9,0,1,0,4,1,2,2,10,2,1,19,2,0,11,0,8,27,10,0,18,0,1,24,3,1,1,1,1,0,9,0,8,2,6,1,1,3,0,0,0,9,9,5,6,1,3
2,1,6,9,11,6,14,5,0,5,4,4,10,5,0,5,34,1,23,0,19,6,0,12,2,20,3,4,19,1,6,6,6,0,21,1,6,34,14,6,10,2,8,4,13,24,13,15,16,8,4,5,24,3,15,3,9,15,7,14,7,9,10,5,2,1,19,13,5,7,7,5,9,3,4,3,2,0,7,31,0,3,6,6,4,3,6,12,8,2,15,13,3,3,3,6,4,2,18,4,16,5,9,6,2,10,0,11,6,5,2,0,5,5,9,10,4,9,4,2,6,15,10,4,4,6,20,10,14,2,9,6,9,4,5,7,9,0,3,28,12,5,0,6,5,3,7,8,9,6,11,8,13,10,4,0,1,10,20,8
2,0,4,7,6,0,10,2,5,0,6,0,2,3,1,2,4,3,1,13,2,0,0,15,0,0,3,1,9,0,4,7,7,0,2,1,5,29,12,19,8,0,15,4,4,9,0,10,0,1,0,1,5,0,0,0,8,4,4,3,6,0,6,1,1,5,14,1,17,15,0,3,6,0,7,10,2,0,3,5,3,2,7,10,0,4,14,2,1,0,10,12,3,0,4,15,1,1,3,5,15,1,2,9,0,2,0,0,7,12,1,0,7,1,2,10,1,6,0,5,4,3,4,3,3,1,1,10,22,0,19,0,0,0,1,11,3,1,1,9,5,0,0,5,2,3,5,2,0,4,4,3,7,3,2,0,1,5,2,28
