Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,13,12,8,0,0,0,9,54,3,3,17,9,3,0,0,0,21,9,2,3,26,3,0,9,5,6,0,0,0,7,1,2,8,6,2,0,0,1,0,9,0,0,15,17,1,0,2,0,3,0,29,1,8,2,5,3,14,0,10,10,17,0,0,0,1,0,3,0,5,0,13,7,0,0,0,17,0,8,0,10,18,8,0,0,6,14,7,0,3,0,24,0,16,2,0,28,1,2,18,36,3,0,20,13,20,1,0,0,0,0,0,2,13,11,5
13,0,22,6,1,8,2,13,38,6,3,17,34,5,9,2,0,18,34,5,2,19,18,1,24,18,15,0,0,3,11,19,3,9,20,26,6,6,7,7,25,1,2,32,7,13,13,21,2,12,2,29,5,18,8,11,12,15,2,22,25,40,2,9,1,15,4,21,3,21,1,18,8,2,6,15,8,2,18,0,8,36,22,4,1,22,10,4,8,5,0,16,0,19,12,8,16,3,17,30,13,13,12,34,21,3,6,0,0,1,1,5,8,39,47,23
12,22,0,1,0,21,1,2,0,5,9,3,19,4,0,0,0,11,4,3,1,31,3,0,8,0,16,0,0,0,19,3,0,5,12,5,0,15,13,0,3,1,0,5,1,2,3,10,3,34,1,10,1,2,1,22,3,11,0,5,4,23,0,13,0,5,0,22,3,14,0,4,11,0,6,10,8,0,4,0,4,11,3,1,0,9,5,1,0,9,8,0,0,25,14,11,8,3,0,5,0,5,3,18,11,0,0,0,1,1,4,6,1,6,6,13
8,6,1,0,0,0,0,4,12,1,0,8,3,1,3,0,0,5,15,0,0,9,3,0,29,7,1,0,0,0,0,1,0,6,5,0,0,0,0,1,3,0,1,10,2,0,0,14,2,0,0,1,0,1,0,1,1,0,0,6,7,2,0,0,3,1,0,2,1,1,0,2,0,0,0,1,3,0,1,0,5,19,0,0,0,3,0,0,2,0,0,7,0,4,0,3,9,0,2,5,7,0,0,14,0,6,0,0,0,0,0,0,1,2,4,6
0,1,0,0,0,2,1,0,0,2,0,0,0,3,5,1,7,0,0,1,3,0,4,0,0,0,2,3,0,0,2,0,19,0,0,2,5,10,10,2,1,5,0,0,0,4,8,0,0,1,5,0,3,7,0,1,0,0,6,0,0,0,1,8,0,1,7,0,0,0,15,0,4,3,4,2,0,0,0,0,0,0,0,4,6,0,0,2,1,1,0,0,1,0,7,0,0,10,0,0,0,0,3,0,0,0,3,0,0,4,4,3,1,0,0,2
0,8,21,0,2,0,1,0,0,9,15,0,3,2,14,3,5,12,3,10,2,3,8,0,4,1,13,7,0,0,13,0,7,11,16,9,1,13,5,2,6,2,2,6,0,2,7,2,0,8,3,11,24,17,7,1,5,4,24,3,2,21,1,7,6,12,4,11,8,2,8,0,2,10,0,6,0,9,11,0,0,6,0,2,0,8,1,8,7,4,0,3,0,12,7,8,2,3,6,0,0,1,1,8,4,0,1,0,0,1,1,11,15,1,4,8
0,2,1,0,1,1,0,0,0,4,1,0,2,2,1,0,0,0,2,10,11,2,9,0,3,0,0,7,0,0,0,1,3,2,2,3,1,0,4,4,3,3,9,0,0,6,3,2,3,2,9,0,1,5,26,0,4,1,5,0,1,1,3,49,6,0,2,1,1,1,3,0,5,14,11,4,2,5,3,0,0,0,8,7,4,0,1,4,2,2,2,1,30,0,8,5,0,3,0,0,0,1,5,2,0,0,25,5,0,2,43,4,6,5,0,7
9,13,2,4,0,0,0,0,16,0,0,4,6,0,1,0,0,11,6,1,2,16,3,0,8,3,1,0,0,0,0,6,0,3,6,2,1,0,0,0,21,0,0,21,10,3,0,15,0,19,1,16,3,1,1,0,1,4,3,13,20,17,0,3,6,0,0,7,0,11,1,2,1,0,1,1,0,1,3,0,8,6,0,0,0,7,3,4,0,0,1,9,0,19,1,2,10,0,3,15,8,3,0,19,4,14,0,1,0,0,0,0,6,19,13,7
54,38,0,12,0,0,0,16,0,0,0,20,0,0,0,0,0,30,30,0,0,40,1,1,8,0,1,0,0,0,0,3,0,18,3,0,0,0,0,0,48,0,0,50,35,4,0,11,0,0,0,38,0,1,1,2,0,2,0,1,2,32,0,0,0,1,0,6,0,6,0,4,3,0,0,1,34,0,21,0,60,79,8,0,0,18,20,0,0,0,0,143,0,121,0,0,50,0,0,31,10,2,0,83,0,5,0,0,0,0,0,0,2,9,41,6
3,6,5,1,2,9,4,0,0,0,4,3,2,3,15,1,0,5,1,7,0,3,18,0,4,9,4,0,0,0,0,4,5,2,5,0,2,6,5,0,4,6,0,5,0,9,4,5,4,10,4,8,14,12,4,8,6,7,11,5,9,11,1,6,6,8,3,12,8,5,4,8,9,3,2,8,1,5,7,0,1,4,1,0,1,3,3,12,6,2,1,4,0,2,19,3,7,4,1,5,0,6,3,2,7,0,0,2,0,2,2,6,5,5,9,15
