Ant4,Ant260,Ant52,Ant244,Ant397,Ant540,Ant6,Ant9,Ant26,Ant30,Ant60,Ant72,Ant74,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant329,Ant518,Ant604,Ant673,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant215,Ant219,Ant220,Ant229,Ant242,Ant243,Ant250,Ant251,Ant256,Ant264,Ant289,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant398,Ant475,Ant476,Ant482,Ant556,Ant560,Ant564,Ant576,Ant580,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,49,0,0,0,0,2,0,0,0,3,0,0,0,0,0,37,0,0,2,0,0,0,1,0,8,4,3,0,1,0,0,17,0,0,5,2,0,1,0,0,0,13,0,0,0,1,0,1,1,1,12,45,0,0,0,3,0,1,0,20,0,0,1,0,6,0,8,0,9,1,0,0,1,3,2,0,26,0,12,1,0,5,3,40,6,16,0,0,0,0,0,0,14,8,8
49,0,1,0,3,1,22,2,8,0,4,0,2,0,1,0,33,1,0,15,2,0,1,3,3,14,19,4,2,0,3,0,41,0,1,21,0,1,13,1,6,0,35,2,5,1,14,6,6,1,14,54,27,1,3,2,11,0,2,0,16,0,6,0,1,5,0,8,0,14,19,0,0,1,1,1,0,33,0,88,1,0,23,6,74,11,63,1,1,0,1,1,0,19,32,30
0,1,0,1,12,6,0,19,19,6,5,5,3,0,13,2,27,11,0,21,1,0,0,12,2,3,12,21,1,1,13,9,10,1,0,13,11,13,5,0,12,11,11,6,6,16,9,2,7,4,4,0,4,0,26,17,4,0,8,6,20,0,27,2,1,4,4,5,0,3,10,15,11,4,2,4,5,14,1,2,8,1,5,4,5,4,5,0,0,0,0,1,2,16,3,17
0,0,1,0,0,11,0,1,2,2,3,0,13,0,1,1,2,0,0,2,6,0,1,0,2,0,0,3,1,11,0,1,0,1,0,1,0,3,0,3,1,1,0,9,1,3,1,0,3,5,0,0,0,1,0,0,0,5,0,0,0,8,0,0,1,0,0,0,0,0,0,5,2,2,1,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,4,2,1,0,0,2
0,3,12,0,0,3,0,6,6,19,7,7,0,0,13,13,8,10,0,3,1,0,1,2,2,0,9,7,4,4,1,8,9,5,5,20,12,8,0,3,7,0,9,21,15,0,4,1,5,1,5,2,3,5,0,13,1,2,3,0,3,2,18,0,9,11,2,18,0,2,6,8,1,6,7,6,4,7,0,0,5,5,1,4,6,1,5,1,5,0,2,3,0,10,3,25
0,1,6,11,3,0,0,3,2,11,3,5,13,0,2,2,9,0,0,2,13,0,5,3,2,0,1,0,1,0,3,2,1,8,11,0,5,8,0,13,2,2,0,4,3,2,2,1,0,3,1,0,1,13,6,1,1,4,0,1,0,0,0,2,10,1,9,4,0,0,9,9,2,5,1,2,6,0,7,0,1,7,0,0,0,0,0,15,8,2,3,4,6,0,0,1
2,22,0,0,0,0,0,1,2,0,5,0,0,0,0,0,5,0,0,2,0,0,0,1,0,6,4,6,0,0,1,0,3,0,0,0,0,0,12,0,1,0,10,0,1,0,3,0,0,0,0,4,7,0,1,0,0,0,0,0,2,0,8,0,0,9,0,2,0,2,0,0,0,0,0,0,0,16,0,4,1,0,0,2,13,1,5,0,0,0,0,0,0,9,4,5
0,2,19,1,6,3,1,0,9,1,11,1,0,0,29,2,10,13,0,8,2,0,0,5,2,2,3,9,0,4,11,4,6,1,2,7,6,4,3,1,12,2,4,11,9,5,12,4,3,3,2,0,5,2,8,19,2,4,7,3,1,3,6,5,4,2,0,2,0,2,5,0,3,12,5,7,4,3,0,2,16,0,0,5,3,1,6,0,1,0,0,0,0,0,2,6
0,8,19,2,6,2,2,9,0,6,18,0,3,0,2,3,23,4,1,18,6,0,0,19,4,2,20,10,5,6,6,18,5,1,2,13,6,4,2,2,5,8,10,22,6,9,22,0,6,1,2,2,16,0,5,14,1,1,10,0,2,1,28,1,0,11,3,12,0,1,28,9,2,4,9,3,3,18,0,3,7,12,1,3,2,12,10,0,3,0,2,3,0,16,5,36
0,0,6,2,19,11,0,1,6,0,4,6,4,0,8,6,5,1,0,0,1,0,0,2,5,0,3,6,1,13,3,5,3,6,4,4,11,2,1,0,0,2,3,19,10,8,2,6,1,11,2,0,1,8,18,7,1,4,1,9,0,5,4,6,6,7,5,7,0,0,28,0,8,1,12,2,11,0,2,0,0,6,0,13,1,2,1,5,4,2,6,15,4,0,1,2
3,4,5,3,7,3,5,11,18,4,0,4,8,0,6,5,12,12,0,9,6,0,1,2,15,6,22,10,12,13,9,0,5,2,1,16,18,10,6,3,14,8,22,6,45,4,10,13,3,6,3,2,13,0,3,8,7,8,5,5,3,3,11,1,3,30,1,20,0,3,7,3,3,11,6,16,4,11,1,4,2,7,19,8,2,6,7,5,7,2,2,5,6,9,21,16
0,0,5,0,7,5,0,1,0,6,4,0,0,0,10,3,41,4,0,0,0,0,0,2,1,0,7,1,6,5,2,0,4,0,10,4,4,10,0,0,5,1,6,1,2,8,0,4,0,15,0,0,0,0,0,8,0,1,0,10,0,4,10,3,4,1,0,11,0,0,0,14,3,9,7,2,12,2,1,2,1,3,6,1,0,0,0,0,5,0,5,0,4,0,0,5
0,2,3,13,0,13,0,0,3,4,8,0,0,0,9,6,2,1,0,1,6,0,0,0,3,0,0,2,15,0,3,2,2,8,0,1,4,12,0,14,0,8,1,9,4,5,2,0,3,16,0,0,0,1,2,1,0,4,0,0,0,1,4,0,6,2,18,1,0,0,0,4,2,0,1,0,7,0,13,0,1,16,0,1,0,0,0,4,8,6,3,25,12,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,13,1,13,2,0,29,2,8,6,10,9,0,0,0,1,3,1,7,0,0,1,0,10,4,3,7,10,1,1,7,3,14,1,2,6,7,1,12,3,8,3,8,8,6,5,1,3,5,0,0,3,16,5,1,0,0,2,1,0,9,0,3,24,2,8,2,0,0,0,2,14,0,2,3,6,2,7,0,7,6,0,1,2,3,0,2,9,1,4,19,2,0,5,4
0,0,2,1,13,2,0,2,3,6,5,3,6,0,0,0,2,1,0,6,3,0,0,0,4,0,0,10,11,2,2,3,4,4,16,6,7,9,1,4,3,1,2,0,9,9,7,0,4,21,4,3,2,3,13,5,3,17,0,2,1,0,11,6,8,4,5,6,0,0,4,2,3,6,2,4,1,2,1,0,3,3,2,4,1,11,0,0,6,1,2,6,0,1,0,2
37,33,27,2,8,9,5,10,23,5,12,41,2,0,1,2,0,5,0,26,2,0,0,16,5,24,20,24,19,4,9,1,33,1,7,52,13,9,11,4,17,5,21,1,4,8,11,17,6,3,13,32,49,0,2,9,13,3,12,10,31,1,26,2,1,20,0,22,0,9,9,3,0,9,8,10,2,46,1,69,4,0,27,25,49,19,38,2,8,1,0,0,6,43,56,14
0,1,11,0,10,0,0,13,4,1,12,4,1,0,3,1,5,0,2,2,0,0,0,9,2,0,5,12,2,0,17,2,13,5,0,27,14,6,3,2,16,8,15,3,5,15,18,1,6,6,6,0,5,0,19,46,3,1,8,0,7,0,8,1,1,11,0,5,0,5,2,4,2,11,3,10,8,1,0,13,6,1,4,0,8,1,4,0,3,0,0,0,2,6,0,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2,15,21,2,3,2,2,8,18,0,9,0,1,0,7,6,26,2,0,0,0,0,0,1,4,9,27,22,5,4,4,1,12,0,4,14,3,1,8,1,16,5,24,2,4,3,15,1,2,1,3,3,20,0,10,3,13,3,4,2,13,1,20,3,5,13,0,10,0,1,7,1,2,7,5,5,0,22,1,0,1,0,1,8,4,8,4,1,3,0,0,3,2,30,10,25
