Ant4,Ant5,Ant59,Ant540,Ant929,Ant2,Ant6,Ant19,Ant24,Ant25,Ant73,Ant148,Ant158,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant838,Ant954,Ant1,Ant17,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant115,Ant117,Ant120,Ant140,Ant153,Ant170,Ant176,Ant210,Ant217,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant289,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant632,Ant638,Ant647,Ant650
0,4,10,13,9,3,9,3,19,24,1,0,4,0,0,1,5,9,8,9,9,11,6,0,10,27,8,27,11,14,4,21,2,2,16,30,3,0,14,2,3,2,2,13,9,2,2,14,12,4,6,10,1,1,1,1,13,0,10,7,1,11,1,7,9,7,1,14,1,1,5,0,7
4,0,4,9,2,11,3,8,5,8,3,0,4,1,5,0,10,6,2,3,10,1,8,4,0,15,1,5,2,4,5,7,17,9,0,6,21,4,0,6,5,8,0,7,0,4,1,1,3,0,28,2,13,13,5,5,3,7,4,1,3,0,21,4,0,2,5,3,0,3,3,0,4
10,4,0,10,3,1,7,1,4,7,4,0,4,0,0,7,15,1,9,7,10,2,5,0,9,5,1,3,5,3,6,4,7,3,3,3,1,3,6,5,6,0,13,4,7,2,2,3,6,4,2,12,4,0,13,1,35,6,18,8,3,11,1,5,29,4,3,7,0,2,1,0,0
13,9,10,0,2,13,12,5,12,17,18,11,4,3,1,3,5,3,4,7,16,7,12,3,1,8,14,13,8,8,13,9,18,21,8,16,8,12,8,6,17,8,2,0,5,5,0,6,0,2,13,13,19,7,8,9,4,2,4,26,3,1,6,3,4,9,32,11,3,1,6,4,16
9,2,3,2,0,1,4,0,7,2,1,1,2,0,0,1,12,0,3,1,9,5,4,0,1,3,4,6,2,5,2,1,5,3,7,8,1,1,0,1,2,1,1,1,2,0,1,7,5,11,2,16,7,0,2,1,1,0,2,2,0,10,1,0,2,2,3,2,0,0,4,0,1
3,11,1,13,1,0,3,5,2,21,51,4,56,0,2,8,1,1,2,5,49,1,1,10,0,5,3,6,5,4,6,3,34,9,0,8,20,8,2,8,12,10,0,0,4,1,0,3,1,6,25,5,3,19,6,52,0,0,1,3,8,0,25,14,1,5,12,1,9,9,29,21,9
9,3,7,12,4,3,0,4,18,17,2,0,6,0,0,9,5,2,12,5,0,0,0,0,7,6,7,10,10,5,0,6,6,9,1,17,3,4,22,12,6,3,0,4,2,1,9,9,13,5,1,2,5,2,7,1,15,6,18,16,1,0,0,18,5,7,5,2,0,7,3,0,3
3,8,1,5,0,5,4,0,26,10,3,0,6,0,0,9,4,17,2,5,4,3,7,1,0,12,6,34,10,1,1,14,18,13,2,18,7,1,8,12,1,0,2,6,1,4,1,9,5,1,10,8,4,7,10,1,1,17,11,3,3,0,7,6,3,0,2,18,5,7,2,0,2
19,5,4,12,7,2,18,26,0,9,6,1,1,0,1,3,7,18,5,4,5,11,7,0,5,10,8,21,11,7,4,20,19,2,12,19,4,2,6,12,6,1,11,7,4,3,2,0,11,0,6,28,2,0,6,1,8,19,18,19,0,6,4,0,3,3,2,3,1,6,1,2,6
24,8,7,17,2,21,17,10,9,0,18,1,10,0,6,5,9,18,5,4,12,4,18,8,0,16,4,7,21,14,4,3,6,10,2,9,11,21,9,12,5,12,1,13,1,9,1,1,1,7,7,2,8,0,21,28,25,18,14,17,5,1,6,12,3,6,7,17,16,1,12,9,3
1,3,4,18,1,51,2,3,6,18,0,1,35,0,1,3,3,13,3,11,15,3,7,0,3,12,9,14,14,0,6,3,12,17,5,10,9,0,0,1,14,8,10,13,1,2,4,4,1,2,12,6,12,3,5,43,5,7,7,6,7,7,6,2,2,3,11,15,5,8,27,26,22
0,0,0,11,1,4,0,0,1,1,1,0,1,0,3,2,1,0,0,2,6,0,2,0,0,0,4,0,0,1,2,0,0,7,0,0,1,1,0,2,8,0,0,0,1,0,0,0,0,1,1,0,4,0,0,8,1,0,1,0,0,0,0,1,1,3,5,1,1,0,12,5,5
4,4,4,4,2,56,6,6,1,10,35,1,0,0,0,4,12,0,9,5,45,2,6,1,3,2,8,15,6,4,6,7,14,8,3,21,7,4,9,5,14,15,1,0,2,1,0,4,0,4,5,5,3,4,3,34,2,1,6,6,9,0,2,3,4,5,8,1,9,9,20,16,16
0,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,5,0,0,0,8,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
0,5,0,1,0,2,0,0,1,6,1,3,0,5,0,2,1,0,0,0,2,0,0,6,0,0,0,2,0,1,2,0,7,1,1,1,9,0,4,1,2,2,0,2,0,4,0,0,0,0,5,0,2,4,1,7,0,0,0,1,0,0,9,0,0,7,4,0,2,1,1,0,4
