Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,21,3,22,7,1,3,5,0,3,11,3,11,4,8,11,4,0,29,0,26,2,15,12,7,2,15,3,9,5,12,8,0,2,6,9,2,1,9,29,2,12,16,8,31,4,0,3,7,4,5,4,3,4,3
21,0,7,3,19,40,8,4,0,16,7,2,3,6,11,5,26,9,22,22,9,6,20,7,7,3,3,6,7,1,30,6,5,12,2,4,8,22,19,12,14,4,7,8,7,5,26,3,12,4,7,4,5,5,5
3,7,0,4,6,53,26,3,0,18,6,0,1,1,2,33,4,10,1,3,5,5,30,1,14,0,15,25,4,1,17,5,8,7,0,1,3,20,5,0,56,5,2,3,0,4,2,1,8,7,16,11,17,21,12
22,3,4,0,7,3,19,0,0,8,9,1,1,3,5,6,5,4,9,26,23,0,13,11,0,1,8,6,7,9,12,9,9,1,8,34,5,4,9,17,4,13,8,0,14,2,0,10,1,8,4,1,3,0,2
7,19,6,7,0,4,20,0,0,9,4,9,8,4,4,5,3,0,19,0,22,3,6,16,4,1,35,3,4,10,7,3,5,9,4,3,16,8,3,9,4,10,2,16,6,2,1,5,5,4,9,1,2,1,1
1,40,53,3,4,0,20,6,0,6,2,2,3,3,5,25,2,3,0,0,2,2,6,8,6,0,25,5,11,1,5,6,4,7,0,4,2,5,5,14,104,5,8,3,7,2,1,8,6,12,15,9,10,25,13
3,8,26,19,20,20,0,5,0,5,5,0,1,20,0,26,7,3,0,0,2,5,5,1,10,2,3,11,3,0,10,0,4,2,5,1,3,6,6,2,20,3,2,0,5,3,0,2,13,12,5,6,12,8,10
5,4,3,0,0,6,5,0,0,0,0,0,0,1,0,7,1,1,0,0,1,0,1,0,1,2,3,4,1,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,4,3
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,18,8,9,6,5,0,11,0,3,1,1,1,2,4,4,2,1,0,2,2,1,1,4,2,3,14,1,2,10,2,1,15,1,2,0,19,3,2,10,0,2,2,3,5,0,0,2,10,10,0,8,6,16
11,7,6,9,4,2,5,0,0,3,0,1,3,4,2,5,1,0,2,0,9,0,2,5,8,2,8,8,8,2,12,5,0,0,6,6,3,5,4,3,6,4,4,10,19,2,1,7,8,6,18,1,1,7,2
3,2,0,1,9,2,0,0,0,1,1,0,9,3,1,0,11,0,11,8,16,10,7,0,0,5,26,2,7,1,1,32,6,4,2,15,7,3,1,4,0,11,5,29,1,0,19,13,4,7,11,0,0,0,0
11,3,1,1,8,3,1,0,0,1,3,9,0,1,2,4,2,1,19,13,8,0,6,5,2,7,18,8,16,3,4,17,2,1,0,14,8,4,13,12,2,20,36,24,3,2,4,4,1,1,15,0,0,0,0
4,6,1,3,4,3,20,1,0,1,4,3,1,0,0,0,29,0,2,2,5,13,1,6,0,3,0,1,0,6,14,1,5,3,0,0,2,0,6,1,5,4,11,4,10,0,0,0,21,13,2,2,2,3,6
8,11,2,5,4,5,0,0,0,2,2,1,2,0,0,9,12,0,9,8,31,0,9,6,2,1,23,9,2,2,4,15,14,1,4,2,13,3,18,1,1,4,10,4,17,1,18,8,3,0,7,1,6,2,0
11,5,33,6,5,25,26,7,0,4,5,0,4,0,9,0,12,4,1,11,18,6,17,11,18,4,11,15,9,11,13,8,5,9,5,4,4,8,9,10,28,5,3,8,13,8,13,3,7,8,6,6,20,18,12
4,26,4,5,3,2,7,1,0,4,1,11,2,29,12,12,0,4,11,12,17,8,15,6,1,3,6,7,16,10,20,20,6,6,2,7,7,2,16,15,6,24,21,22,2,0,2,2,9,12,7,7,1,7,6
0,9,10,4,0,3,3,1,8,2,0,0,1,0,0,4,4,0,4,7,1,0,5,0,3,1,2,13,2,1,0,1,1,1,1,3,3,26,5,1,17,0,0,0,0,4,0,3,3,1,1,4,5,17,5
29,22,1,9,19,0,0,0,0,1,2,11,19,2,9,1,11,4,0,4,15,0,9,6,0,1,37,5,14,2,0,39,18,8,0,1,15,7,24,8,2,9,4,13,6,0,0,5,0,5,7,1,2,1,0
0,22,3,26,0,0,0,0,0,0,0,8,13,2,8,11,12,7,4,0,39,0,2,23,32,7,25,7,2,4,17,16,1,9,3,10,12,7,2,7,1,22,26,21,4,0,9,15,0,0,13,1,0,0,3
26,9,5,23,22,2,2,1,0,2,9,16,8,5,31,18,17,1,15,39,0,11,5,30,7,10,42,15,13,29,5,11,2,2,16,26,23,4,2,13,1,24,9,11,19,4,28,19,6,13,4,3,0,3,0
2,6,5,0,3,2,5,0,0,2,0,10,0,13,0,6,8,0,0,0,11,0,4,2,1,2,0,4,8,3,4,0,16,0,14,0,1,3,4,4,1,2,2,0,4,3,2,1,8,7,6,1,0,2,14
15,20,30,13,6,6,5,1,0,1,2,7,6,1,9,17,15,5,9,2,5,4,0,5,8,2,7,6,14,6,27,14,4,17,1,2,18,16,5,15,6,3,4,11,5,2,1,11,24,23,11,18,19,6,2
12,7,1,11,16,8,1,0,0,1,5,0,5,6,6,11,6,0,6,23,30,2,5,0,6,0,13,11,3,3,10,9,5,4,10,10,17,5,5,7,3,2,2,7,5,3,2,5,6,6,4,2,1,3,4
7,7,14,0,4,6,10,1,0,4,8,0,2,0,2,18,1,3,0,32,7,1,8,6,0,7,7,9,15,4,13,18,0,7,1,12,2,4,7,3,8,4,2,5,11,3,0,3,4,4,11,2,7,4,5
2,3,0,1,1,0,2,2,0,2,2,5,7,3,1,4,3,1,1,7,10,2,2,0,7,0,4,6,10,3,1,8,2,1,11,7,0,0,3,4,0,3,5,26,9,0,0,2,0,7,11,2,0,2,2
15,3,15,8,35,25,3,3,0,3,8,26,18,0,23,11,6,2,37,25,42,0,7,13,7,4,0,18,15,1,6,10,23,7,0,12,17,25,24,26,0,27,21,16,7,2,8,28,1,7,20,1,0,1,1
3,6,25,6,3,5,11,4,13,14,8,2,8,1,9,15,7,13,5,7,15,4,6,11,9,6,18,0,16,6,14,2,4,23,1,2,1,24,23,2,12,3,1,4,14,6,74,4,6,11,2,30,15,14,10
9,7,4,7,4,11,3,1,0,1,8,7,16,0,2,9,16,2,14,2,13,8,14,3,15,10,15,16,0,6,7,11,0,3,0,7,7,9,17,20,3,17,5,9,7,8,2,4,3,4,26,4,11,3,8
5,1,1,9,10,1,0,1,0,2,2,1,3,6,2,11,10,1,2,4,29,3,6,3,4,3,1,6,6,0,1,4,0,1,4,4,2,4,0,9,5,4,11,3,5,0,0,1,1,2,3,1,1,0,3
12,30,17,12,7,5,10,2,0,10,12,1,4,14,4,13,20,0,0,17,5,4,27,10,13,1,6,14,7,1,0,1,5,7,4,2,4,17,10,11,10,2,3,4,22,2,28,2,20,28,4,5,17,12,8
8,6,5,9,3,6,0,0,0,2,5,32,17,1,15,8,20,1,39,16,11,0,14,9,18,8,10,2,11,4,1,0,16,7,0,10,4,2,32,15,0,13,18,30,5,0,0,22,0,0,28,1,3,2,0
0,5,8,9,5,4,4,1,0,1,0,6,2,5,14,5,6,1,18,1,2,16,4,5,0,2,23,4,0,0,5,16,0,1,0,4,5,4,10,7,4,6,3,3,16,1,0,20,12,6,5,3,0,1,1
2,12,7,1,9,7,2,0,7,15,0,4,1,3,1,9,6,1,8,9,2,0,17,4,7,1,7,23,3,1,7,7,1,0,0,8,2,18,1,9,16,0,1,16,8,0,1,1,5,1,5,1,27,24,15
