Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,10,1,17,4,14,0,23,7,0,0,6,3,29,26,8,7,19,2,9,10,6,7,3,10,3,7,7,29,0,8,18,19,31,28
10,0,5,3,6,2,0,14,30,9,17,13,21,9,4,23,7,6,9,1,3,17,3,31,14,24,2,9,2,0,9,7,2,2,7
1,5,0,2,17,1,0,1,11,9,15,51,10,2,0,8,5,1,16,0,6,23,22,18,4,8,27,9,3,7,3,3,2,2,1
17,3,2,0,7,2,0,5,3,3,9,14,3,5,1,14,11,12,14,8,2,4,2,9,13,5,8,7,14,0,5,18,9,24,14
4,6,17,7,0,0,0,3,14,10,4,22,12,9,1,31,4,20,10,4,8,34,16,21,8,13,21,5,4,10,9,6,2,1,0
14,2,1,2,0,0,0,0,2,0,0,1,1,4,1,0,11,6,1,0,0,0,1,0,3,1,0,1,0,0,0,0,5,3,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,19,0,0,0,0,0,0
23,14,1,5,3,0,1,0,2,1,1,7,6,8,1,8,7,3,0,18,0,1,0,1,4,3,0,13,9,1,0,8,14,1,3
7,30,11,3,14,2,0,2,0,22,19,37,12,8,0,17,20,12,36,4,10,10,21,7,6,22,20,18,9,37,42,11,8,0,3
0,9,9,3,10,0,0,1,22,0,4,36,16,0,1,31,7,7,28,2,9,14,31,24,0,12,3,9,8,17,15,4,2,1,0
0,17,15,9,4,0,0,1,19,4,0,39,21,2,1,5,19,1,20,6,1,31,7,23,1,17,34,17,2,3,18,10,3,2,2
6,13,51,14,22,1,0,7,37,36,39,0,13,9,2,21,10,25,21,15,16,24,21,23,16,5,21,7,8,6,24,7,4,5,5
3,21,10,3,12,1,0,6,12,16,21,13,0,4,0,17,7,4,11,5,1,7,11,4,7,5,1,35,1,4,32,11,2,3,0
29,9,2,5,9,4,0,8,8,0,2,9,4,0,5,8,10,14,4,16,7,8,1,0,14,1,0,13,14,0,7,9,6,19,6
26,4,0,1,1,1,0,1,0,1,1,2,0,5,0,1,2,9,0,1,6,3,2,0,1,3,0,18,14,0,2,3,6,5,6
8,23,8,14,31,0,0,8,17,31,5,21,17,8,1,0,19,8,23,5,8,14,14,10,1,15,0,22,15,6,36,8,5,4,9
7,7,5,11,4,11,0,7,20,7,19,10,7,10,2,19,0,30,5,4,2,12,9,12,15,8,1,14,0,0,9,2,9,3,2
19,6,1,12,20,6,0,3,12,7,1,25,4,14,9,8,30,0,21,6,3,5,8,4,8,13,1,7,8,0,23,11,6,17,9
2,9,16,14,10,1,0,0,36,28,20,21,11,4,0,23,5,21,0,1,9,31,27,27,1,37,25,12,10,2,24,5,3,4,0
9,1,0,8,4,0,1,18,4,2,6,15,5,16,1,5,4,6,1,0,1,2,2,4,10,5,0,10,11,0,0,22,3,1,0
10,3,6,2,8,0,0,0,10,9,1,16,1,7,6,8,2,3,9,1,0,1,5,10,1,11,0,12,1,2,10,11,10,6,3
6,17,23,4,34,0,0,1,10,14,31,24,7,8,3,14,12,5,31,2,1,0,4,24,4,7,6,11,2,4,13,3,8,4,5
7,3,22,2,16,1,0,0,21,31,7,21,11,1,2,14,9,8,27,2,5,4,0,8,1,25,36,7,6,28,13,7,0,1,1
3,31,18,9,21,0,0,1,7,24,23,23,4,0,0,10,12,4,27,4,10,24,8,0,3,1,53,2,6,1,20,4,10,2,0
10,14,4,13,8,3,16,4,6,0,1,16,7,14,1,1,15,8,1,10,1,4,1,3,0,3,0,12,13,0,3,9,3,1,3
3,24,8,5,13,1,0,3,22,12,17,5,5,1,3,15,8,13,37,5,11,7,25,1,3,0,0,24,7,1,8,8,2,4,2
7,2,27,8,21,0,0,0,20,3,34,21,1,0,0,0,1,1,25,0,0,6,36,53,0,0,0,1,0,11,0,2,0,0,0
7,9,9,7,5,1,0,13,18,9,17,7,35,13,18,22,14,7,12,10,12,11,7,2,12,24,1,0,4,6,10,9,8,4,10
29,2,3,14,4,0,19,9,9,8,2,8,1,14,14,15,0,8,10,11,1,2,6,6,13,7,0,4,0,0,8,9,2,4,20
0,0,7,0,10,0,0,1,37,17,3,6,4,0,0,6,0,0,2,0,2,4,28,1,0,1,11,6,0,0,2,0,0,1,0
8,9,3,5,9,0,0,0,42,15,18,24,32,7,2,36,9,23,24,0,10,13,13,20,3,8,0,10,8,2,0,10,4,11,8
18,7,3,18,6,0,0,8,11,4,10,7,11,9,3,8,2,11,5,22,11,3,7,4,9,8,2,9,9,0,10,0,10,22,40
19,2,2,9,2,5,0,14,8,2,3,4,2,6,6,5,9,6,3,3,10,8,0,10,3,2,0,8,2,0,4,10,0,9,10
31,2,2,24,1,3,0,1,0,1,2,5,3,19,5,4,3,17,4,1,6,4,1,2,1,4,0,4,4,1,11,22,9,0,17
28,7,1,14,0,3,0,3,3,0,2,5,0,6,6,9,2,9,0,0,3,5,1,0,3,2,0,10,20,0,8,40,10,17,0
