Ant4,Ant5,Ant59,Ant65,Ant397,Ant540,Ant929,Ant2,Ant6,Ant14,Ant19,Ant24,Ant25,Ant26,Ant73,Ant148,Ant158,Ant191,Ant192,Ant202,Ant227,Ant237,Ant245,Ant252,Ant311,Ant518,Ant534,Ant646,Ant740,Ant838,Ant954,Ant0,Ant1,Ant17,Ant23,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant114,Ant115,Ant117,Ant120,Ant126,Ant140,Ant149,Ant153,Ant170,Ant172,Ant173,Ant176,Ant186,Ant210,Ant217,Ant220,Ant221,Ant242,Ant250,Ant251,Ant255,Ant256,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant353,Ant356,Ant387,Ant391,Ant433,Ant475,Ant476,Ant482,Ant501,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant610,Ant614,Ant632,Ant638,Ant647,Ant650
0,3,6,1,3,13,6,0,7,0,4,10,5,0,12,3,8,0,0,0,6,6,0,9,8,4,7,2,13,8,4,4,0,30,3,7,4,37,1,12,6,2,1,2,0,13,0,3,7,3,5,1,17,30,0,3,4,2,0,4,2,7,21,0,0,0,0,7,4,18,17,5,3,21,3,1,0,0,10,3,5,1,17,6,5,0,3,3,19,3,5,22,0,5,4,1,1,0,1,2,0,1
3,0,4,7,3,0,0,23,0,13,3,4,6,2,4,7,6,0,5,11,13,1,1,0,6,4,0,1,0,0,3,1,0,0,1,11,10,2,5,13,1,0,4,3,0,1,21,6,4,4,18,0,2,0,2,4,4,3,0,6,3,9,0,1,9,7,6,0,0,2,2,12,10,4,11,20,0,9,1,6,3,2,5,1,7,0,4,5,0,4,0,2,1,7,1,3,16,3,10,10,9,26
6,4,0,1,3,13,33,8,53,7,6,21,21,0,15,8,8,0,4,1,2,12,2,91,8,1,18,26,29,9,8,24,0,14,10,14,2,17,0,2,16,14,3,5,0,11,11,11,1,7,9,4,26,24,0,4,0,4,18,5,2,9,50,1,2,0,0,6,9,25,14,2,11,47,15,0,16,1,32,5,12,1,34,6,38,3,0,2,12,4,24,13,7,3,12,5,5,0,0,2,5,6
1,7,1,0,12,6,0,22,0,3,2,0,9,1,0,18,4,0,11,6,12,0,4,2,2,6,0,0,0,0,0,0,0,0,0,2,2,1,0,7,3,0,8,9,0,0,9,21,16,11,6,2,7,0,3,9,2,4,0,5,2,0,0,1,6,8,1,0,0,1,0,4,2,13,0,5,0,5,1,7,1,1,0,0,0,0,6,0,0,2,0,0,2,11,1,2,6,5,1,8,5,15
3,3,3,12,0,1,0,15,1,2,0,1,4,0,1,18,5,0,5,2,1,1,1,0,2,0,1,0,0,2,8,0,0,0,1,3,2,4,3,22,1,1,3,3,6,2,18,20,7,10,8,4,2,0,4,11,3,1,0,5,0,3,0,4,4,2,7,0,2,2,2,0,4,2,1,5,0,21,2,7,4,3,2,1,7,2,6,1,5,7,0,0,7,14,3,3,0,0,0,6,6,9
13,0,13,6,1,0,3,8,31,11,1,10,8,0,6,21,20,0,17,0,5,12,0,22,1,0,15,5,15,5,10,7,0,2,11,24,6,28,5,13,30,8,6,2,1,4,21,12,0,5,14,5,7,5,0,11,0,4,3,4,5,14,13,0,2,5,1,6,15,15,20,3,9,17,21,2,5,3,23,1,7,3,3,6,16,4,3,1,2,5,17,8,9,7,12,14,2,0,3,2,5,4
6,0,33,0,0,3,0,2,35,0,3,6,1,0,28,3,0,0,1,0,3,3,0,8,4,0,6,17,22,5,5,10,0,12,0,1,3,25,0,3,4,8,1,0,0,5,1,1,0,2,3,5,14,8,0,4,0,4,5,0,0,2,39,0,0,1,0,0,1,9,11,0,0,30,6,0,2,1,5,1,4,0,10,3,11,1,3,0,4,0,15,5,2,5,4,0,1,0,0,1,1,2
0,23,8,22,15,8,2,0,3,26,7,11,35,15,9,32,10,0,22,9,22,1,22,2,9,8,4,6,2,4,5,1,1,0,5,20,18,8,8,24,7,2,13,39,14,1,21,35,18,16,19,6,6,1,2,66,5,11,1,25,12,5,5,18,19,22,6,8,4,5,1,9,17,11,4,12,8,55,1,7,5,17,0,4,15,3,31,5,3,39,5,1,16,53,4,10,29,6,7,46,17,40
7,0,53,0,1,31,35,3,0,0,6,5,6,1,6,9,12,0,6,0,4,1,0,42,6,0,9,20,26,9,4,5,0,2,2,5,3,25,1,1,9,18,1,1,0,2,1,7,0,2,2,3,10,8,0,0,1,3,5,3,0,42,55,0,0,2,0,7,5,20,14,2,8,81,30,3,9,0,30,0,4,0,52,1,26,0,7,0,8,2,53,15,0,2,9,1,0,0,1,5,1,6
0,13,7,3,2,11,0,26,0,0,0,0,5,5,3,8,5,2,4,2,12,1,5,0,8,1,5,1,2,3,3,1,1,0,3,11,3,13,12,8,8,1,9,10,3,4,10,17,1,6,14,0,1,0,0,3,7,8,0,10,4,3,1,6,5,8,2,7,0,0,2,1,11,6,4,7,3,12,3,6,11,1,1,1,2,0,10,1,4,17,3,1,2,5,0,2,7,3,3,12,10,17
4,3,6,2,0,1,3,7,6,0,0,6,7,1,7,3,4,0,1,0,2,6,0,9,9,1,2,5,2,4,3,3,0,6,0,13,7,10,4,2,6,5,1,2,0,4,6,5,1,6,16,4,8,4,0,5,4,5,0,2,4,12,8,0,0,3,0,17,2,7,2,21,7,11,5,1,1,1,8,0,30,1,6,2,14,2,2,4,3,14,6,1,0,0,6,4,0,0,1,3,10,13
10,4,21,0,1,10,6,11,5,0,6,0,15,0,4,3,3,0,2,0,1,2,0,3,10,3,3,4,5,1,7,5,2,0,0,11,13,14,6,6,0,1,1,3,0,2,12,0,3,4,6,1,6,9,0,2,0,3,0,0,4,8,3,0,0,7,0,9,8,7,25,4,3,5,21,1,13,2,2,1,8,1,13,2,10,1,3,4,4,1,8,15,4,4,3,3,2,0,3,6,5,2
5,6,21,9,4,8,1,35,6,5,7,15,0,0,2,17,9,0,20,6,3,3,0,4,14,2,15,6,3,5,30,6,0,0,11,25,20,8,10,17,2,1,26,19,3,14,29,18,13,17,10,9,8,0,0,19,0,26,0,10,11,19,4,3,6,7,0,4,13,7,7,30,20,21,25,25,13,13,6,4,11,7,4,11,12,2,14,13,1,5,6,9,11,14,6,17,16,1,12,29,10,21
0,2,0,1,0,0,0,15,1,5,1,0,0,0,0,4,1,12,0,3,21,0,12,0,0,3,0,0,0,0,0,0,7,0,1,5,0,2,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,6,3,16,0,0,3,0,11,0,0,12,19,8,1,4,1,0,3,2,1,9,2,1,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,6,0,1,7,14,0,5,22,2
12,4,15,0,1,6,28,9,6,3,7,4,2,0,0,2,7,0,1,0,2,13,0,56,0,0,3,28,70,9,3,21,0,8,1,0,0,19,3,5,18,29,7,0,0,10,5,17,0,4,19,4,17,12,0,1,0,1,5,0,5,5,37,0,0,0,0,6,11,15,16,6,7,36,0,2,10,1,10,0,22,1,25,2,31,0,3,1,11,4,24,21,4,8,22,2,0,0,0,0,0,0
3,7,8,18,18,21,3,32,9,8,3,3,17,4,2,0,25,0,29,2,8,4,4,7,12,3,7,3,2,4,32,4,0,1,10,18,15,17,6,35,17,3,7,22,24,12,35,31,7,14,35,9,11,3,2,25,5,14,2,15,4,7,3,18,5,8,2,6,12,10,6,29,18,11,12,17,1,22,12,4,5,8,5,6,21,7,6,4,3,24,3,7,32,29,3,26,5,2,0,31,9,24
8,6,8,4,5,20,0,10,12,5,4,3,9,1,7,25,0,0,7,0,1,19,1,12,3,0,15,10,13,13,12,12,0,3,2,11,6,35,1,24,8,7,4,9,0,9,16,20,5,8,25,15,10,9,0,29,0,8,10,10,4,10,4,1,8,4,2,4,12,17,5,6,6,56,10,4,5,9,13,1,4,4,8,3,22,3,6,0,6,13,6,1,14,32,7,2,4,0,0,15,2,12
0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,1,8,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
0,5,4,11,5,17,1,22,6,4,1,2,20,0,1,29,7,0,0,2,4,0,2,2,19,0,9,1,2,0,1,4,0,0,8,18,10,2,6,19,7,0,7,1,10,1,16,10,15,16,11,4,7,0,0,14,6,9,1,10,5,8,2,3,2,8,1,4,4,3,1,8,10,17,3,13,0,8,0,6,5,7,0,2,8,4,8,4,0,6,1,1,3,12,3,10,5,0,0,10,4,10
