Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,5,9,1,11,2,1,0,0,6,0,16,0,0,0,0,0,0,2,0,1,0,1,1,0,0,2,2,0,0,0,0,1,0,0,1,1,0,24,4,0,0,5,4,0,0,0,20,0,11,0,0,0,11,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,25,0,3,0,10,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,6,2,0,0,0,0,7,0,0,0,0,0,0,13,3,6,7,0,4,0,2,0,0,0,0,0,2,0,0,0,8,0,0,9,0,0,0,0,10,0,0,24,5
0,0,5,0,0,0,2,1,0,4,1,14,1,1,0,4,1,26,4,0,2,3,5,3,2,7,9,4,6,0,7,18,0,38,27,0,15,0,4,0,0,6,1,2,6,0,13,1,0,5,0,6,2,9,8,9,2,7,24,2,12,7,1,2,9,38,0,1,50,2,0,0,2,25,1,9,41,9,13,17,8,14,6,0,3,2,9,0,1,8,7,2,12,2,0,3,3,3,3,3,0,2,11,3,0,0,0,81,13,0,9,7,11,4,4,5,4,16,29,7,1,16,12,0,10,9,6,5,0,1,38,2,5
5,5,0,0,1,4,1,5,0,3,1,3,9,6,6,6,9,10,0,3,6,17,2,0,5,46,1,0,19,0,0,11,4,5,7,0,11,1,0,3,7,7,0,0,9,0,10,2,3,1,0,1,2,7,6,9,3,0,8,1,50,15,11,6,3,8,0,3,5,0,19,15,5,16,4,8,3,0,23,1,9,2,2,7,4,3,0,4,1,6,23,0,1,5,0,14,1,8,0,9,34,14,1,0,1,6,0,7,13,0,8,3,6,4,1,4,0,9,8,12,0,7,4,0,15,1,2,6,12,5,8,0,2
9,0,0,0,4,42,16,2,17,4,3,0,7,0,0,1,6,0,0,6,0,9,5,0,3,1,0,9,1,0,0,1,15,1,0,0,2,2,0,9,2,1,2,1,1,0,2,0,5,0,1,0,4,0,2,0,2,1,2,0,0,3,1,0,0,4,0,6,0,0,11,0,9,0,28,2,1,0,1,0,2,0,1,1,14,5,0,16,0,1,2,6,2,3,0,0,38,0,0,1,1,0,0,16,3,1,5,0,13,0,0,2,0,1,0,4,2,2,0,0,5,1,0,7,0,0,0,0,4,8,0,2,12
1,0,1,4,0,6,7,26,1,4,7,0,1,3,4,1,1,0,0,2,1,9,1,0,5,18,0,11,8,0,0,2,6,0,1,10,3,15,0,3,18,7,1,1,20,0,20,13,0,0,0,0,0,0,13,0,13,5,1,0,2,1,2,9,0,7,0,0,5,0,3,12,0,3,0,1,0,0,25,0,7,0,13,15,2,0,0,13,0,2,3,0,3,15,0,0,13,0,0,2,5,2,0,4,2,3,4,1,29,0,0,10,0,0,0,2,7,2,0,1,1,0,6,1,11,0,1,15,4,0,0,0,5
11,0,4,42,6,0,15,1,10,0,7,0,7,0,11,2,5,0,0,6,2,2,11,0,17,0,1,21,0,0,2,1,0,0,1,1,0,8,0,4,0,4,0,5,12,0,13,2,22,0,6,0,1,0,35,0,2,8,4,0,1,1,2,6,0,0,0,5,0,0,1,1,10,0,6,1,0,2,4,0,0,0,0,0,14,1,0,6,0,0,9,4,1,7,0,0,9,0,0,0,2,0,0,11,1,8,11,0,1,0,0,1,0,3,0,1,1,1,0,1,8,3,0,10,2,2,3,0,11,3,0,0,0
2,2,1,16,7,15,0,8,38,3,2,0,3,1,19,0,2,0,0,2,1,18,3,0,16,1,0,13,5,0,0,2,28,1,0,2,1,5,0,7,8,3,0,3,2,0,3,0,22,2,2,0,3,0,10,0,4,9,1,0,0,0,5,7,0,2,0,3,0,0,2,3,3,0,2,0,0,0,1,0,3,0,0,5,31,3,0,7,2,0,4,0,0,20,0,0,28,0,0,3,8,0,1,4,1,3,14,0,5,0,0,0,0,5,0,2,5,0,0,0,8,0,0,0,1,0,5,3,9,5,0,3,16
1,1,5,2,26,1,8,0,7,10,0,0,12,7,3,1,2,0,0,5,1,16,2,0,7,6,6,4,9,0,0,0,2,2,0,18,5,9,0,4,2,14,13,8,5,0,15,10,6,2,3,0,1,0,12,0,8,17,6,0,4,3,3,0,0,7,0,1,5,0,0,1,1,6,1,5,0,1,11,0,19,1,6,2,10,17,1,7,0,0,2,1,0,13,0,0,10,2,1,3,7,1,0,6,0,1,1,5,24,0,0,10,2,6,0,7,7,3,4,0,9,3,0,14,1,0,6,1,1,2,17,0,7
0,0,0,17,1,10,38,7,0,1,15,0,8,1,2,0,6,0,0,3,2,0,3,0,2,7,2,15,0,0,0,1,15,0,0,3,4,1,0,5,17,0,3,7,3,0,0,7,11,0,1,0,3,0,4,1,8,5,0,0,0,4,6,18,0,1,0,7,0,0,9,1,1,0,18,0,0,0,9,0,0,0,0,2,9,0,0,9,0,0,3,0,0,11,0,0,18,1,0,0,12,0,0,3,2,19,13,0,3,0,2,0,0,8,0,4,2,0,0,2,10,0,0,0,1,5,2,1,0,2,0,0,15
0,4,3,4,4,0,3,10,1,0,0,1,7,1,12,3,5,7,1,7,1,1,1,0,8,30,7,6,9,0,4,0,14,7,6,19,7,0,0,0,4,4,10,11,15,0,6,7,3,2,0,0,15,1,1,1,13,5,8,1,1,7,9,4,0,13,0,0,6,0,4,2,7,0,1,6,1,4,1,0,12,1,13,4,4,6,3,0,1,3,4,0,0,8,0,0,5,0,2,14,3,2,1,3,9,0,4,1,17,0,1,14,1,12,0,9,9,4,7,5,7,7,5,5,2,6,12,4,6,0,7,0,1
6,1,1,3,7,7,2,0,15,0,0,0,5,0,11,1,5,0,1,0,2,10,2,0,5,3,0,6,5,0,2,0,4,0,1,2,7,2,0,1,15,4,10,11,4,0,12,0,11,3,4,0,2,0,10,0,7,1,11,0,4,6,0,16,3,0,0,5,0,0,6,28,3,3,6,6,0,1,3,0,0,0,5,0,12,1,1,4,0,0,12,5,0,4,0,0,9,1,0,1,1,4,1,0,7,9,2,0,7,0,0,6,1,1,0,0,16,1,1,1,0,0,0,4,1,0,2,0,13,1,2,0,16
0,14,3,0,0,0,0,0,0,1,0,0,0,15,0,5,0,16,0,0,3,0,0,24,0,0,2,0,0,53,0,0,0,0,3,0,3,0,10,0,2,2,0,0,3,31,2,0,0,3,0,2,0,38,0,1,1,0,24,17,9,1,8,0,0,9,19,1,5,0,0,1,0,42,0,1,14,7,8,14,0,4,0,1,0,0,4,0,14,11,1,0,17,1,6,6,1,6,0,2,0,7,23,0,3,1,0,28,0,24,0,8,28,0,0,0,5,6,17,0,2,4,12,3,6,11,9,15,0,1,12,0,0
16,1,9,7,1,7,3,12,8,7,5,0,0,7,9,4,0,0,0,0,6,1,0,1,4,6,3,7,5,0,2,13,3,4,6,8,7,2,0,18,8,1,6,0,7,0,1,0,17,0,10,0,4,0,2,1,0,0,7,0,2,4,0,0,0,15,0,3,0,0,9,0,4,0,12,9,0,2,8,1,3,1,3,0,3,2,4,2,0,0,12,14,0,0,0,0,1,1,0,5,0,5,1,0,1,12,0,6,0,0,3,9,2,9,0,15,18,7,0,1,4,4,2,2,0,0,8,2,6,6,7,1,30
0,1,6,0,3,0,1,7,1,1,0,15,7,0,0,3,7,17,1,0,18,0,0,9,2,2,13,2,1,8,10,0,1,10,11,6,9,1,0,2,0,3,2,7,17,18,4,5,0,7,0,0,2,9,1,4,9,3,23,29,11,12,4,4,12,8,20,2,13,0,1,2,2,12,3,12,6,4,4,6,4,5,0,20,2,0,2,1,13,9,7,0,16,3,10,6,1,9,1,8,1,11,14,0,7,0,2,10,0,8,1,11,7,0,0,14,7,10,19,24,0,2,9,0,5,9,15,5,3,2,20,4,2
0,0,6,0,4,11,19,3,2,12,11,0,9,0,0,6,10,5,0,17,8,8,2,0,2,7,1,11,8,0,2,0,9,1,3,19,4,10,0,7,7,11,18,3,54,0,11,11,1,0,0,0,11,0,25,0,17,9,2,0,0,8,3,12,0,2,0,13,2,0,3,10,11,0,3,5,0,0,14,0,10,0,0,11,13,18,0,3,2,1,10,13,0,22,0,2,33,0,0,2,3,2,0,6,1,2,2,0,4,0,0,7,0,3,0,6,16,1,0,0,15,1,0,3,3,0,3,8,16,3,3,0,13
0,4,6,1,1,2,0,1,0,3,1,5,4,3,6,0,9,1,5,1,7,0,6,1,3,1,4,8,9,0,8,0,1,16,4,2,4,0,0,0,1,3,4,1,3,0,0,1,2,12,3,0,6,9,1,20,6,6,20,2,1,6,2,4,14,10,0,0,3,0,3,6,2,2,0,8,3,18,8,2,9,4,0,4,1,7,5,1,3,9,3,1,3,1,0,12,3,3,3,9,0,6,2,2,3,0,3,1,2,0,11,8,4,3,2,10,31,3,5,2,1,7,1,1,4,10,6,3,1,0,7,4,2
0,1,9,6,1,5,2,2,6,5,5,0,0,7,10,9,0,5,0,4,3,9,8,0,23,4,1,16,2,0,0,0,3,2,7,9,3,16,0,9,5,0,0,6,11,0,10,5,0,2,0,0,3,5,6,3,10,8,1,1,12,2,6,10,4,10,0,3,2,0,1,13,0,2,4,8,2,0,11,0,16,0,2,11,10,7,0,2,3,0,7,3,1,14,0,3,7,0,0,0,14,4,2,5,4,5,11,2,1,0,8,6,3,1,0,12,10,5,3,16,2,2,2,7,32,7,7,10,2,3,7,0,5
0,26,10,0,0,0,0,0,0,7,0,16,0,17,5,1,5,0,4,2,6,1,2,1,1,4,13,4,4,6,16,3,0,30,17,3,11,1,24,0,0,4,0,3,12,3,7,2,0,17,0,4,1,5,1,60,3,0,51,0,9,87,4,1,49,33,1,4,8,0,0,4,6,38,0,2,20,35,6,1,16,13,3,3,0,6,26,0,8,4,5,1,32,0,1,2,3,15,8,8,3,11,15,0,4,1,1,16,6,12,19,26,9,7,0,5,12,49,37,8,10,21,28,1,7,31,19,44,1,3,26,1,6
0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,4,0,5,1,1,2,0,1,3,3,8,1,0,5,0,0,2,14,1,5,0,0,0,1,0,4,3,1,0,0,0,0,9,0,1,1,3,0,28,11,0,10,1,0,7,1,2,6,5,0,0,9,0,1,0,4,0,0,4,4,26,1,8,0,0,1,1,0,1,11,0,1,5,0,1,3,1,0,0,0,1,4,5,1,2,1,0,12,0,0,1,3,0,13,1,1,0,0,6,18,0,2,7,3,6,0,4,0,5,2,6,0,0,5,14,1
2,0,3,6,2,6,2,5,3,7,0,0,0,0,17,1,4,2,5,0,7,1,1,1,1,8,35,3,0,0,6,1,0,0,6,15,40,1,0,4,0,1,2,3,13,0,9,2,13,2,0,0,3,1,3,1,4,7,0,0,0,4,6,0,3,2,0,1,0,0,17,7,78,1,1,10,1,0,2,0,13,0,21,2,2,4,2,0,0,0,9,1,1,5,0,0,5,4,1,10,1,1,1,0,71,3,0,2,2,0,0,20,1,26,0,10,20,5,0,43,3,2,1,5,1,2,8,5,3,8,7,0,4
0,2,6,0,1,2,1,1,2,1,2,3,6,18,8,7,3,6,1,7,0,0,9,2,4,6,6,5,6,0,14,0,4,9,6,5,20,1,0,0,2,0,9,8,20,0,6,0,3,7,0,1,4,3,3,1,11,8,15,1,0,14,7,4,5,22,0,3,8,0,6,5,10,8,0,6,7,3,2,6,15,0,2,8,1,6,2,1,2,16,9,0,2,3,0,0,0,5,4,7,4,3,2,0,6,1,4,3,7,0,13,16,11,7,0,6,10,6,2,16,5,9,1,4,1,24,15,11,1,3,8,6,1
1,3,17,9,9,2,18,16,0,1,10,0,1,0,8,0,9,1,1,1,0,0,5,1,12,2,1,7,0,0,0,0,8,3,3,2,0,1,0,0,2,3,3,3,5,0,11,7,6,0,5,0,3,1,14,1,2,8,2,0,2,4,3,37,0,6,0,0,3,0,3,4,1,1,0,0,0,0,9,0,10,3,2,2,24,2,0,32,0,0,2,0,0,0,0,0,12,0,0,0,5,0,0,9,1,3,12,0,9,0,0,3,0,4,0,2,3,0,1,1,25,1,1,4,16,0,0,5,2,3,1,0,0
0,5,2,5,1,11,3,2,3,1,2,0,0,0,2,6,8,2,2,1,9,5,0,0,2,11,10,5,1,0,7,0,8,20,17,9,4,0,0,1,0,0,2,2,5,0,4,5,0,2,0,0,11,2,24,4,13,15,12,0,3,21,11,0,3,5,0,0,0,0,4,2,10,15,0,4,2,3,1,0,14,0,1,6,3,7,0,1,9,6,13,2,2,5,0,2,3,2,6,6,4,6,8,13,5,3,0,4,6,0,3,3,3,11,2,7,6,5,1,14,15,8,3,6,6,1,2,4,14,14,9,3,4
1,3,0,0,0,0,0,0,0,0,0,24,1,9,0,1,0,1,0,1,2,1,0,0,0,0,0,0,1,133,1,0,4,0,1,1,1,0,23,1,0,0,0,0,0,106,0,0,0,1,0,13,0,59,0,0,0,0,2,59,1,0,0,0,0,0,80,0,1,0,3,0,3,35,2,0,3,0,0,0,3,18,0,0,0,1,1,0,18,20,1,0,12,0,86,25,1,1,2,0,1,0,57,0,0,0,0,21,0,59,1,0,4,1,7,0,0,0,3,1,0,48,13,1,0,0,0,1,0,0,3,1,0
1,2,5,3,5,17,16,7,2,8,5,0,4,2,2,3,23,1,1,1,4,12,2,0,0,11,1,16,5,0,3,0,1,0,1,10,6,0,0,6,2,8,2,4,10,0,2,2,6,0,2,0,10,0,12,1,13,17,2,0,1,4,0,0,9,6,0,4,1,0,0,5,0,3,1,8,0,9,1,0,3,1,2,2,7,14,0,13,0,1,2,2,1,2,0,3,3,0,1,3,4,1,0,0,1,8,9,0,8,0,5,3,0,7,0,5,10,2,2,0,8,1,0,10,3,2,0,4,2,1,1,2,6
0,7,46,1,18,0,1,6,7,30,3,0,6,2,7,1,4,4,3,8,6,2,11,0,11,0,1,9,25,0,3,10,1,13,9,1,17,10,0,11,28,17,3,16,18,0,27,1,0,1,0,0,2,2,2,3,30,15,3,0,31,1,17,2,1,30,0,0,6,0,1,23,1,17,0,3,5,4,30,0,18,2,23,5,5,8,3,3,0,16,14,6,0,9,0,1,11,4,0,3,15,16,2,7,3,11,1,2,10,0,4,11,7,2,0,8,20,3,2,19,5,17,3,4,27,2,14,9,7,6,19,10,9
