Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
0,1,1,0,23,17,0,33,0,3,38,19,1,1,3,2,3,30,1,0,63,1,0,70,0,3,0,6,0,2,17,3,1,0,0,1,2,0,3,0,77,15,4,2,0,9,2,1,0,2,5,2,10,11,0,21,0,0,20,1,10,2,22,0,1,4,6,16,4,127,1,34,18,0,3,0,0,20,5,2,2,9,0,11,0,3,43,2,2
1,0,12,21,0,0,6,2,4,3,0,0,2,5,1,2,7,10,2,0,7,46,0,1,0,4,12,1,0,6,0,1,7,0,1,8,5,3,1,17,1,0,1,25,0,0,6,1,1,0,7,11,0,2,0,4,2,0,10,8,0,7,0,7,15,4,9,0,1,2,4,0,0,9,26,0,16,2,2,0,11,0,5,1,1,5,1,1,8
1,12,0,1,5,1,5,2,7,4,0,0,2,4,1,6,0,4,4,0,1,6,2,5,3,0,8,3,0,5,3,3,6,7,0,1,3,2,9,4,4,0,6,2,0,0,2,0,7,1,3,4,0,1,0,6,8,0,1,13,7,8,4,4,4,5,2,1,2,2,0,1,0,1,0,2,21,1,9,1,3,1,14,1,1,5,9,0,2
0,21,1,0,0,2,0,0,15,12,1,0,0,5,5,4,1,0,14,0,0,18,0,4,1,13,4,18,1,9,0,9,4,23,0,5,54,1,4,8,2,1,5,8,0,0,6,0,3,2,0,23,0,0,0,0,3,0,0,2,0,26,0,3,0,36,15,0,0,0,10,0,1,9,37,1,7,6,2,0,4,0,16,0,0,7,1,0,27
23,0,5,0,0,3,19,25,2,6,1,0,6,0,15,1,7,10,6,0,42,9,10,7,0,1,1,3,12,13,3,5,1,2,0,2,3,30,10,1,29,12,15,2,19,0,2,1,19,5,16,2,8,3,37,24,3,10,13,2,27,0,18,2,2,4,3,5,18,25,0,17,1,3,3,1,19,26,15,12,4,7,3,60,15,8,18,35,3
17,0,1,2,3,0,3,16,0,1,22,5,0,0,2,1,1,4,1,16,11,0,0,7,2,0,1,2,2,4,7,3,1,1,1,0,0,2,3,2,16,8,5,1,0,9,1,2,5,1,5,2,3,32,2,8,0,4,1,0,10,3,14,1,1,9,3,3,1,21,3,10,7,2,3,0,1,3,3,0,3,14,0,1,5,4,19,2,1
0,6,5,0,19,3,0,6,0,0,0,5,0,6,9,6,16,6,11,0,0,7,5,4,0,5,4,5,2,14,0,0,6,31,4,2,0,7,28,3,10,0,3,9,1,0,0,0,5,6,2,1,8,1,10,8,0,7,14,2,1,3,1,2,5,16,3,0,1,2,1,13,0,0,7,4,8,11,3,14,12,3,2,9,8,11,16,7,2
33,2,2,0,25,16,6,0,2,0,31,14,5,6,11,7,8,22,3,0,50,3,2,23,4,7,0,8,4,8,3,12,1,0,0,4,3,18,24,0,63,39,7,9,14,10,16,0,5,4,8,1,6,17,18,35,4,3,16,6,25,4,8,5,8,3,2,7,14,43,7,41,6,1,1,2,0,10,0,6,1,7,6,10,42,15,36,14,9
0,4,7,15,2,0,0,2,0,8,0,3,5,1,4,6,15,6,5,0,10,8,1,7,2,10,2,6,6,4,0,6,3,3,0,3,0,0,5,7,3,1,3,10,0,0,5,0,10,5,1,21,1,1,1,8,0,0,0,2,1,10,1,0,12,25,7,1,0,4,3,3,0,1,20,5,2,9,1,0,1,1,4,5,0,19,3,7,10
3,3,4,12,6,1,0,0,8,0,1,0,1,2,4,3,8,1,5,0,2,7,2,1,5,1,12,5,0,6,0,0,6,10,14,22,8,3,2,9,2,2,8,6,0,0,11,0,3,11,2,4,0,0,0,4,13,0,18,2,0,19,2,1,2,7,8,0,0,1,12,30,0,4,2,26,21,0,5,0,11,1,16,2,5,12,6,9,15
