Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
0,0,14,1,2,0,6,13,4,5,10,6,0,3,12,9,2,0,1,1,2,14,2,0,7,9,2,0,10,7,1,2,0,1,6,0,5,3,1,7,19,2,23,2,0,6,1,9,11,0,5,48,24,6,10,2,1,11,6,27,11,1,2,0,1,0
0,0,0,8,9,0,6,0,12,0,0,2,0,7,1,0,0,0,9,0,0,6,4,0,4,1,9,29,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,0,0,0,2,1,9,1,1,0,1,1,4,2,1,4,1
14,0,0,2,2,4,5,4,3,9,26,0,0,7,1,1,10,0,2,7,3,3,11,5,8,12,5,9,2,8,2,6,7,0,0,0,0,3,2,17,11,5,2,1,0,8,2,0,10,8,1,1,1,0,7,3,1,23,2,4,5,7,7,4,3,7
1,8,2,0,4,4,0,0,0,4,10,7,0,6,0,0,1,7,13,16,5,3,8,5,7,3,1,44,0,6,3,1,2,0,0,0,0,4,0,0,0,1,0,0,0,0,15,2,2,12,1,0,0,3,2,10,1,0,0,1,0,2,2,0,4,0
2,9,2,4,0,6,1,12,0,5,2,1,0,0,4,2,3,0,3,8,11,2,15,11,7,1,6,25,0,3,0,0,0,0,0,0,0,14,3,18,5,8,3,2,0,2,31,18,1,14,1,4,4,23,2,10,3,0,2,7,9,27,0,0,11,4
0,0,4,4,6,0,0,3,4,3,7,0,0,14,0,1,3,5,1,0,2,10,12,7,21,1,0,6,5,17,0,3,5,3,0,0,3,1,8,5,5,2,6,11,1,0,0,3,4,4,0,1,1,2,1,8,6,4,6,5,7,1,10,2,0,7
6,6,5,0,1,0,0,3,4,0,4,11,0,16,4,4,2,0,3,2,0,9,1,1,24,0,5,2,0,0,8,2,24,1,0,0,1,0,2,5,9,2,6,9,5,0,0,1,4,1,1,3,2,1,4,0,0,3,0,4,3,0,1,7,1,4
13,0,4,0,12,3,3,0,12,2,22,8,0,24,4,4,8,2,0,4,6,5,1,6,14,5,3,13,1,4,3,0,2,0,0,0,1,4,0,4,8,6,17,25,0,4,3,8,0,5,0,8,3,6,2,3,3,12,0,11,4,1,5,0,6,0
4,12,3,0,0,4,4,12,0,9,4,8,0,26,6,3,14,10,0,16,10,17,6,0,19,1,1,0,9,3,9,1,3,0,0,0,4,10,0,0,12,0,13,1,0,4,0,5,4,3,6,1,0,1,6,0,6,6,4,4,4,14,1,0,2,7
5,0,9,4,5,3,0,2,9,0,10,0,0,2,3,4,2,0,0,0,5,0,16,1,12,4,3,0,2,4,0,4,3,0,0,0,15,2,1,2,10,0,6,8,0,0,3,7,4,2,0,21,0,2,3,16,8,13,2,2,7,6,8,1,5,1
10,0,26,10,2,7,4,22,4,10,0,14,0,8,23,8,6,0,6,5,2,10,10,4,13,19,2,10,9,20,7,9,8,1,7,0,3,5,12,0,25,9,33,39,4,7,2,10,14,0,0,11,8,6,21,12,4,3,12,17,5,16,13,5,17,8
6,2,0,7,1,0,11,8,8,0,14,0,0,6,23,19,0,1,6,13,9,20,2,0,7,9,12,0,6,11,1,2,1,0,1,0,2,0,11,1,26,7,20,22,0,1,2,4,16,1,2,23,13,19,24,0,7,0,1,31,2,4,8,2,2,6
