Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,1,2,10,10,17,1,12,6,0,1,0,7,17,0,0,0,2,4,0,0,2,5,3,0,3,52,0,0,9,13,0,18,11,0,0,0,2,18,6,1,3,9,4,17,0,1,10,0,6,8,1,0,0,0,4,4,0,0,2,0,0,3,0,0,13,0,20,5,0,10,0,1,0,2,0,4,0,2,0,5,3,7,6,0,0,11,0,0,18,1,3,0,2,10,3,9,9,2,4,13,0,0,0,1,8,1,0,6,0,4,3,0,0,4,1,2,0,2,1,4,1,1,0,1,0,15,0,1,0,5,0,11,12,0,9,21,9,5,0,0,8,22,13,2,4,23,15,6,6,4
0,0,1,0,5,1,5,6,0,4,0,8,0,9,8,2,11,0,15,29,13,0,8,0,4,0,1,1,6,9,1,3,8,0,3,6,0,9,0,5,2,1,0,0,2,0,18,18,3,0,2,6,1,17,0,0,0,10,6,0,31,20,10,0,12,0,0,21,1,7,17,6,5,0,1,10,12,3,3,6,2,2,0,2,8,0,0,15,2,17,2,16,5,3,0,0,4,6,8,26,0,3,9,1,12,9,2,1,12,0,0,4,0,4,6,12,2,7,3,1,2,0,3,49,4,0,4,0,1,14,5,0,0,4,9,4,4,3,2,26,0,1,4,0,6,37,12,0,0,6,3,1
1,1,0,13,1,4,13,3,0,4,9,0,0,14,1,1,1,0,7,1,0,7,13,7,0,0,13,0,3,5,20,4,1,11,4,1,0,3,7,12,4,0,0,3,4,6,5,4,24,0,1,7,2,1,12,0,9,2,0,23,5,1,0,0,0,0,10,0,0,0,0,7,0,17,9,4,0,0,0,10,5,0,0,20,13,0,0,0,1,0,0,0,2,0,11,10,0,1,7,12,4,9,4,2,0,0,1,6,0,1,0,0,0,0,3,0,1,0,0,0,7,17,0,0,9,1,35,0,1,4,0,0,0,3,12,5,0,4,4,3,0,2,9,3,0,1,0,29,27,3,2,7
2,0,13,0,0,23,15,0,16,4,19,0,0,1,0,0,0,0,0,1,2,3,0,10,0,0,11,4,2,3,4,6,0,7,2,0,0,0,21,2,7,0,0,2,4,2,0,0,2,0,0,2,3,0,19,0,6,0,0,16,0,0,0,15,0,0,0,0,6,1,0,6,0,1,12,0,0,5,0,0,3,4,0,13,3,0,0,0,0,0,2,0,8,0,26,12,12,2,4,0,4,3,0,4,0,1,0,4,0,0,0,0,19,0,1,1,5,0,0,12,3,12,7,0,5,0,2,9,0,0,0,3,0,1,3,2,0,1,7,1,0,0,1,6,0,0,3,9,3,0,0,11
10,5,1,0,0,1,0,2,6,1,0,3,0,3,7,3,12,0,20,0,3,4,5,0,8,1,15,2,8,9,2,0,9,0,5,2,5,1,1,7,4,2,0,5,1,1,3,11,5,1,5,8,1,1,0,1,0,9,0,0,5,0,5,8,0,2,3,7,10,14,0,9,0,4,1,2,5,17,0,4,3,4,0,1,3,4,1,7,6,15,1,1,21,0,0,1,3,15,21,19,4,5,4,2,3,5,0,0,3,8,0,5,3,0,9,7,2,25,0,3,1,1,2,0,14,0,7,0,0,5,0,4,0,9,3,4,5,1,4,7,0,1,2,4,4,0,7,0,11,0,2,4
10,1,4,23,1,0,10,3,3,4,5,0,0,3,7,3,2,0,3,0,2,0,3,0,1,0,31,2,6,2,0,1,0,8,0,0,0,1,15,4,2,0,11,35,10,0,2,4,12,0,3,6,20,2,25,0,9,0,5,11,0,0,10,2,1,0,6,3,1,5,0,10,0,6,14,1,1,1,0,1,1,7,0,19,13,0,0,1,0,4,3,0,8,1,9,8,11,1,5,15,8,0,0,1,3,2,1,3,0,4,0,0,6,1,0,0,10,2,1,1,1,6,9,0,12,0,1,5,0,2,0,0,0,4,18,1,0,0,1,0,0,0,16,29,0,0,2,20,4,0,3,2
17,5,13,15,0,10,0,5,15,6,18,0,0,10,10,3,1,0,17,0,1,2,2,9,6,0,10,7,2,10,7,1,0,3,4,1,0,0,24,5,12,0,15,8,10,3,1,0,12,0,8,12,12,2,9,1,9,3,0,13,1,1,9,12,0,0,8,4,5,10,3,12,0,0,23,0,1,10,0,0,11,3,0,9,12,0,0,1,0,2,10,1,0,1,38,6,13,2,8,3,15,5,3,7,0,0,22,3,2,1,0,0,9,0,1,0,1,0,0,14,11,17,4,4,17,1,1,4,0,10,1,4,0,4,10,2,0,4,0,0,0,0,9,11,1,1,0,12,1,0,1,15
1,6,3,0,2,3,5,0,0,10,1,0,0,16,1,4,6,0,4,2,1,1,7,8,11,0,4,0,6,4,14,0,0,0,3,3,0,2,0,3,4,3,0,3,12,2,4,21,16,0,7,4,1,1,0,0,0,0,0,0,6,2,12,1,0,0,0,1,2,11,1,2,0,1,8,2,8,6,0,3,7,1,3,0,8,4,0,12,0,4,19,0,7,0,0,0,7,3,1,9,3,8,1,6,2,1,1,3,3,7,0,1,8,1,11,2,1,0,1,2,7,11,4,2,7,0,10,2,1,5,4,7,0,8,19,2,0,1,6,8,0,0,5,7,6,5,6,14,0,2,10,4
12,0,0,16,6,3,15,0,0,5,1,0,0,2,2,1,0,0,3,0,0,0,2,12,0,0,1,1,2,5,1,0,0,5,0,0,0,0,36,0,4,0,3,1,5,4,0,2,4,0,5,7,21,0,3,1,9,0,2,0,4,0,0,0,0,0,1,0,0,4,0,6,0,2,3,0,1,13,0,0,3,6,0,2,0,0,0,1,0,2,18,0,4,0,14,2,2,2,11,0,1,11,3,9,3,1,10,3,0,7,1,0,5,0,2,4,5,2,0,11,1,1,6,0,0,0,0,2,1,1,2,7,0,6,3,1,0,3,9,2,0,0,1,4,3,0,3,5,7,1,1,13
6,4,4,4,1,4,6,10,5,0,8,0,0,6,1,1,1,0,9,5,5,0,3,6,8,0,20,2,9,6,6,7,1,11,6,1,1,2,3,9,3,4,5,5,0,7,2,11,7,0,5,3,6,4,16,0,6,0,6,23,7,0,5,5,4,0,29,4,12,14,0,9,2,5,1,3,6,3,0,5,2,7,4,4,14,0,0,21,0,2,7,2,2,2,2,1,7,1,4,10,7,7,0,0,1,4,9,2,5,0,0,1,5,4,3,12,8,2,3,8,23,6,2,4,10,1,2,6,2,1,0,14,0,7,10,4,2,1,4,3,0,0,10,9,9,3,3,6,5,3,4,8
