Ant57,Ant260,Ant52,Ant397,Ant540,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant237,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant29,Ant35,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant82,Ant91,Ant96,Ant97,Ant98,Ant100,Ant109,Ant113,Ant115,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant139,Ant140,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant186,Ant190,Ant195,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant219,Ant229,Ant232,Ant242,Ant250,Ant255,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant326,Ant331,Ant332,Ant334,Ant342,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant476,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant552,Ant560,Ant564,Ant576,Ant592,Ant593,Ant599,Ant600,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,6,0,12,7,1,0,0,14,2,0,2,15,0,0,0,1,7,14,36,0,8,4,0,0,1,0,6,8,3,1,0,5,3,20,0,0,0,6,0,3,0,4,6,0,0,0,3,0,0,0,0,0,0,10,3,0,10,1,0,14,1,0,0,26,0,15,6,0,33,0,4,0,12,7,18,14,14,0,2,5,21,2,0,0,3,4,0,0,9,0,8,0,3,0,2,0,0,0,1,7,2,13,1,9,7,38,7,0,0,19,5,30,4,11,4,10,0,12,2,14,0,0,0,0,0,0,0,19,0,0,1,22,3,2,0,6,0,32,6,0,0,0,9,6,0,1,0,8,0,0,4,0,0,0,1,0,0,10,8,0,0,11
0,0,0,10,1,0,3,59,8,0,4,0,3,0,7,18,34,0,4,0,0,0,0,20,15,0,1,48,0,2,1,8,5,0,25,3,19,0,1,0,2,0,32,4,0,6,7,15,1,22,37,20,27,22,9,0,0,13,0,1,6,0,2,2,7,0,2,0,0,6,0,5,1,21,0,1,0,0,0,4,9,0,3,4,21,36,3,0,13,10,0,17,1,16,0,27,2,7,6,33,14,5,13,0,10,0,6,0,0,3,27,0,0,3,0,0,4,0,2,5,6,0,3,10,11,17,0,18,9,1,28,0,0,1,0,5,42,0,12,0,3,21,5,0,6,1,13,2,17,0,2,6,0,21,4,30,25,4,32,5,2,15,2,0
6,0,0,0,0,2,0,0,0,7,6,18,0,3,0,0,0,0,7,29,3,14,0,1,1,6,9,0,4,10,3,3,1,13,1,11,0,11,0,9,0,6,0,3,12,0,1,0,0,7,0,0,0,1,0,17,9,0,13,2,0,6,0,3,0,27,4,10,9,1,22,0,1,0,4,4,5,16,2,0,0,3,29,1,0,5,17,6,3,0,12,0,8,0,0,0,8,0,0,5,1,2,0,14,1,0,22,12,6,0,0,16,5,10,7,7,12,0,0,0,5,24,0,0,0,0,0,0,2,14,2,0,4,8,2,2,0,0,0,3,6,0,0,0,7,9,0,0,2,7,19,4,10,0,2,0,0,4,0,4,20,0,1,10
0,10,0,0,4,10,4,9,11,0,13,2,24,0,5,12,3,0,5,0,0,0,2,14,17,0,6,0,0,12,0,11,10,0,5,7,3,0,25,0,15,0,1,1,0,0,16,5,1,21,0,3,21,3,16,0,2,2,0,2,25,2,5,0,3,0,5,9,5,20,0,10,18,4,0,16,0,0,0,2,8,21,0,16,0,13,4,0,23,2,0,17,0,21,0,14,0,16,0,12,12,3,2,1,14,0,6,0,0,0,8,1,3,4,1,5,1,0,9,0,7,11,0,0,12,23,13,3,1,4,12,0,0,2,0,24,0,1,9,5,1,10,0,0,0,1,6,13,8,0,0,13,2,12,18,6,21,20,14,1,0,5,8,0
12,1,0,4,0,5,13,9,6,0,9,3,5,7,20,0,0,0,7,2,1,0,7,26,6,2,2,0,0,1,13,11,3,3,12,3,3,10,10,2,6,0,0,3,0,0,1,1,3,8,4,0,41,17,9,0,0,0,0,0,10,2,0,13,20,5,7,21,14,26,5,19,23,4,1,4,1,9,7,3,14,7,7,0,0,17,6,0,29,5,4,0,2,2,1,12,8,0,58,0,5,4,7,3,3,0,11,7,0,15,3,4,14,1,22,0,11,0,9,35,9,3,10,0,4,3,0,0,12,1,9,0,15,7,5,2,12,15,9,5,8,9,0,0,11,1,11,22,5,0,21,2,0,7,7,15,38,4,11,7,0,0,33,0
7,0,2,10,5,0,22,2,0,17,2,8,3,11,0,0,0,13,44,27,32,16,24,0,4,12,13,0,23,9,6,10,0,20,22,6,0,20,1,25,1,0,0,1,17,0,9,0,37,3,0,2,0,0,7,12,9,0,6,7,0,10,7,32,4,34,24,38,15,5,31,4,1,0,22,4,11,11,0,0,11,32,1,4,0,0,4,5,5,0,38,0,20,0,20,0,16,0,0,3,0,10,0,2,9,55,4,4,7,1,0,43,29,0,3,8,4,18,0,0,1,13,0,0,0,4,3,0,1,54,1,0,10,0,5,17,1,11,3,0,4,0,0,0,22,18,0,2,0,14,7,2,0,2,6,0,11,13,0,9,7,0,10,9
1,3,0,4,13,22,0,3,0,1,2,3,2,2,5,0,10,3,14,0,0,1,0,15,7,2,11,0,3,0,4,15,14,4,4,6,0,27,5,7,5,1,0,13,9,0,1,14,0,13,2,8,4,13,13,0,18,2,0,0,6,4,4,22,16,2,7,4,3,4,0,17,8,13,2,2,5,1,2,1,9,12,3,2,0,0,2,0,16,1,2,3,4,3,0,15,0,0,6,3,3,0,16,0,3,1,1,20,0,2,0,0,4,2,7,15,4,3,7,9,8,18,21,2,9,2,0,0,2,0,5,0,12,1,6,9,10,5,4,3,14,5,0,5,35,1,6,5,11,2,6,1,0,6,10,3,0,14,7,5,0,3,9,4
0,59,0,9,9,2,3,0,9,0,6,2,10,2,15,18,17,0,2,0,0,0,8,17,30,0,1,0,0,3,3,5,3,0,1,2,11,2,14,0,4,0,0,2,0,0,8,7,1,19,25,46,11,9,13,0,0,15,0,7,8,0,5,10,6,0,1,4,4,4,0,18,11,12,0,6,0,2,1,11,3,12,0,2,2,16,0,0,8,14,0,12,3,20,0,82,0,16,3,25,4,1,9,4,6,0,0,2,0,4,7,0,1,3,4,4,17,0,10,2,9,0,0,23,16,14,3,0,16,0,28,0,5,1,1,2,7,0,4,0,20,24,0,0,13,0,11,16,34,0,0,3,0,7,9,1,15,17,9,0,0,11,4,3
0,8,0,11,6,0,0,9,0,0,0,0,0,0,6,10,1,0,0,0,0,0,0,27,3,0,4,39,0,3,0,2,0,0,0,0,2,0,0,0,4,0,22,3,0,4,0,2,0,0,17,2,17,24,5,0,0,18,0,0,16,0,0,0,3,0,4,2,0,8,0,2,5,15,0,3,0,0,0,10,3,8,0,0,13,38,1,0,0,5,0,0,0,1,0,61,1,0,8,2,14,0,18,0,0,0,5,0,0,2,2,0,0,0,0,0,12,0,14,0,5,0,0,14,4,23,15,18,4,0,20,0,0,1,0,0,2,0,0,0,6,8,5,0,0,0,22,2,1,0,3,6,0,0,5,28,0,16,9,0,0,2,5,0
14,0,7,0,0,17,1,0,0,0,0,6,0,0,0,0,0,17,23,15,65,34,7,0,0,0,0,0,25,0,0,0,2,8,4,11,0,3,0,4,0,10,0,0,1,0,0,0,38,0,0,0,0,0,0,38,7,0,13,0,0,11,3,1,2,18,0,9,14,0,12,0,0,0,1,0,0,0,2,0,4,2,0,0,0,0,0,6,0,0,28,0,9,0,22,0,5,0,0,0,0,0,0,1,0,9,1,17,23,0,0,56,1,0,1,8,0,11,0,0,0,9,0,0,0,0,4,0,0,8,0,0,7,2,18,0,0,10,0,11,0,0,0,5,0,4,0,1,0,2,0,0,2,0,0,0,1,0,0,0,6,0,0,4
