Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,1,13,0,10,7,1,0,7,3,3,0,6,0,0,0,38,4,36,20,16,8,2,0,8,2,18,4,7,3,7,17,17,26,0,6,1,6,2,9,0,8,12,0,0,0,1,0,3,0,2,15,31,0,8,4,3,15,2,15,20,7,10,2,11,1,2,18,5,1,20,5,0,6,15,15,0,5,8,1,0,20,0,2,1,3,7,1,2,1,6,0,6,2,13,7,1,1,22,2,17,3,0,10,0,4,3,0,0,0,0,3,8,1,1,0,4,6,3,4,0,16,1,2,0,0,1,25,53,0,0,16,1,21,0,0,2,3,7,9,1,1,8
1,0,2,10,0,4,17,32,0,1,5,1,2,19,5,17,0,0,0,0,1,3,20,10,1,9,0,1,0,7,2,2,1,0,16,0,0,0,1,0,25,9,0,1,6,0,16,26,11,28,11,0,0,11,2,0,8,0,1,1,0,2,10,0,0,26,33,0,3,0,0,1,9,0,0,2,22,28,0,0,17,0,7,0,5,0,0,7,8,9,4,10,0,0,4,0,0,15,0,1,1,3,2,0,0,10,2,0,6,16,13,0,23,0,17,0,0,1,7,10,14,0,6,6,12,11,0,1,0,21,7,1,7,0,24,16,5,27,1,2,18,12,0
13,2,0,0,39,20,0,0,20,8,2,10,28,0,0,0,0,2,51,6,8,7,1,2,1,7,2,26,2,0,0,8,0,17,0,4,4,0,1,4,0,4,14,3,2,23,15,1,3,1,2,6,25,0,5,0,1,1,4,13,3,14,1,5,4,0,1,7,1,1,13,4,0,20,3,2,1,0,1,2,0,1,2,1,1,16,8,0,4,0,13,0,13,10,2,4,1,1,6,11,4,8,0,0,13,1,0,0,0,0,0,7,3,0,6,0,21,4,1,0,0,1,3,2,1,0,1,14,11,2,0,0,0,6,0,16,8,2,6,0,2,2,17
0,10,0,0,1,12,3,3,6,4,4,6,3,0,5,6,0,1,0,0,0,5,31,9,0,10,0,3,4,0,4,0,0,3,6,0,16,0,13,0,2,2,2,3,10,5,19,3,5,9,24,0,1,0,2,0,6,0,3,11,8,6,12,0,3,2,25,0,12,5,10,9,7,13,0,14,1,4,1,7,0,7,18,0,5,11,0,2,4,8,5,0,0,0,25,1,3,4,2,25,4,3,11,11,0,11,20,6,3,15,14,8,33,0,21,0,8,2,7,14,3,1,8,14,10,0,4,5,4,8,20,2,6,1,0,27,12,30,3,1,11,30,0
10,0,39,1,0,3,0,0,28,2,1,0,18,0,1,0,13,12,20,12,14,23,0,0,4,8,33,22,0,4,3,12,12,4,0,12,0,11,2,1,0,18,19,0,1,42,2,0,1,5,0,36,9,0,8,1,3,14,4,18,9,24,16,37,29,1,0,13,3,0,7,14,0,5,20,4,0,5,16,4,0,26,1,19,2,30,7,0,4,5,0,0,9,4,11,10,14,0,14,0,17,11,2,1,13,8,1,0,0,0,0,7,4,7,5,0,8,21,8,1,0,17,3,1,0,0,10,6,3,1,0,1,0,7,0,1,7,0,2,3,0,3,5
7,4,20,12,3,0,1,0,0,4,12,3,4,0,1,0,0,4,1,2,1,12,7,1,0,16,1,12,11,0,13,26,18,12,1,0,0,6,1,0,0,18,5,2,8,1,19,1,2,1,7,0,3,0,16,0,11,0,3,25,6,7,20,2,0,15,10,13,12,1,23,1,7,7,0,0,0,5,0,28,0,11,5,0,15,3,7,0,3,16,2,7,12,0,4,0,10,3,16,13,17,3,1,2,1,12,0,7,0,10,0,0,17,0,8,0,13,1,2,8,2,4,1,42,2,0,0,11,4,1,5,16,1,0,0,22,5,8,0,5,1,11,3
1,17,0,3,0,1,0,8,0,0,1,7,0,0,15,26,0,1,0,0,0,0,34,5,1,0,0,0,0,2,2,0,1,0,13,1,7,0,13,0,0,0,2,7,0,1,6,16,12,20,3,0,0,0,0,0,13,0,3,1,0,1,2,0,0,26,25,0,9,0,0,0,8,6,0,6,1,5,2,2,9,1,19,0,18,0,0,11,8,5,0,2,3,0,2,0,0,4,0,5,0,8,8,16,0,13,27,1,15,16,9,4,6,2,9,1,0,0,0,6,10,0,13,0,0,0,0,0,1,0,35,0,14,4,0,0,11,4,1,3,0,1,0
0,32,0,3,0,0,8,0,1,1,1,1,0,4,13,15,0,0,0,0,0,0,0,12,0,3,0,0,0,1,0,0,0,0,7,0,3,0,0,0,34,0,0,3,7,1,0,1,13,21,8,0,1,8,0,3,2,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,2,0,0,0,25,9,0,0,14,0,2,0,1,0,0,8,4,1,3,8,0,0,0,0,0,8,0,3,0,0,3,2,0,7,1,0,8,0,0,2,0,0,4,0,0,0,0,3,15,0,6,0,3,23,0,0,0,22,0,0,0,0,16,4,0,2,0,0,7,0,0
7,0,20,6,28,0,0,1,0,0,15,0,24,0,1,2,21,7,30,25,22,42,7,3,6,0,33,0,0,0,0,27,8,21,1,19,1,4,0,5,0,4,22,3,0,6,1,0,0,0,0,19,8,0,7,0,0,40,4,9,34,9,7,13,3,0,1,7,0,8,0,14,0,5,18,4,0,0,20,4,0,42,1,27,0,16,9,0,2,2,0,0,28,13,6,4,2,0,28,1,3,1,3,0,40,0,0,0,0,0,2,1,0,26,2,0,1,26,22,0,0,0,0,2,0,0,9,16,25,0,1,5,0,32,0,0,0,0,8,34,3,1,21
3,1,8,4,2,4,0,1,0,0,21,6,3,0,8,4,1,0,0,3,0,6,5,3,3,3,0,16,1,0,1,3,17,14,1,5,6,0,25,1,0,9,1,2,0,40,8,6,2,0,7,0,21,0,0,1,4,0,8,1,6,3,21,1,0,5,0,0,2,5,11,8,2,7,9,15,0,0,4,18,0,6,3,5,0,3,1,0,10,8,14,0,14,3,2,0,0,4,0,12,2,2,22,4,5,4,6,6,3,2,13,3,6,2,6,0,1,4,2,3,0,1,0,0,0,0,2,5,0,0,4,1,2,6,0,2,9,5,4,1,2,4,9
