Ant57,Ant260,Ant52,Ant397,Ant929,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant60,Ant64,Ant74,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant229,Ant232,Ant242,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant326,Ant331,Ant332,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant458,Ant492,Ant501,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,9,2,2,0,2,0,4,9,1,4,0,1,10,8,2,3,1,2,12,2,2,8,0,16,3,5,8,0,6,4,3,0,9,1,0,0,16,11,0,3,0,4,22,1,0,4,8,1,16,3,11,9,13,8,1,0,8,7,0,7,0,2,12,1,1,0,5,0,6,14,1,2,0,22,13,1,14,3,0,9,3,5,0,4,2,22,6,12,0,1,2,4,1,0,0,0,10,11,10,3,6,0,3,21,3,15,0,4,0,3,0,7,0,0,2,33
0,0,2,30,4,59,35,0,17,0,14,2,29,57,1,1,2,2,32,18,3,9,12,18,6,3,10,2,0,7,5,10,0,43,3,3,8,16,10,10,47,33,33,4,2,69,2,8,1,10,3,8,1,6,3,1,38,37,2,11,1,3,31,5,1,15,53,43,14,39,2,2,39,1,59,5,5,0,3,0,18,1,1,3,6,2,18,0,28,35,18,13,20,20,0,37,0,5,7,1,12,0,10,6,3,3,1,9,13,4,24,30,83,3,0,21,28,1
9,2,0,0,0,1,0,2,2,5,1,1,0,0,11,2,1,8,1,0,2,1,9,0,2,4,7,6,0,1,2,0,0,0,8,0,3,1,3,3,0,0,1,2,3,0,7,0,3,0,2,3,8,3,1,0,0,0,1,1,0,0,2,8,5,3,0,0,3,0,16,7,3,2,0,3,0,3,3,1,0,7,5,11,6,0,1,6,3,4,0,2,4,3,3,0,0,0,8,2,5,7,0,0,1,6,4,0,0,0,1,0,7,2,0,0,0,7
2,30,0,0,1,5,25,0,7,0,3,0,43,23,0,0,0,4,32,18,1,2,1,16,0,2,1,0,4,7,1,8,0,1,2,0,17,4,2,0,0,5,13,2,1,5,1,14,0,13,7,5,2,0,0,0,0,16,0,4,1,1,9,0,1,7,2,3,9,5,1,1,23,0,3,0,0,4,0,0,4,0,0,0,5,16,7,0,4,4,1,2,3,11,0,20,0,7,5,0,2,7,19,5,0,2,6,1,9,3,3,12,4,1,0,7,4,4
2,4,0,1,0,4,0,3,9,2,3,0,0,0,1,0,0,1,1,1,0,1,3,1,0,5,1,1,5,2,4,1,1,1,0,7,1,4,4,21,4,3,1,3,5,0,16,2,3,11,3,1,2,3,0,0,3,4,0,4,2,2,4,0,18,2,1,0,0,0,19,10,2,0,0,8,4,1,2,0,0,1,5,1,3,6,3,2,7,17,0,2,3,6,0,0,0,1,8,0,5,1,2,0,1,0,0,0,4,7,0,0,2,5,1,1,4,2
0,59,1,5,4,0,40,0,2,6,16,1,0,2,1,0,4,2,41,13,0,6,4,2,1,1,0,4,0,4,0,6,0,0,2,2,14,4,19,6,15,9,9,3,4,20,2,15,0,6,3,0,3,0,2,1,17,14,0,4,1,2,6,10,0,3,12,4,7,0,3,1,15,1,0,0,0,1,4,2,0,3,2,2,6,7,10,0,16,7,0,7,6,33,1,23,1,3,2,0,4,2,36,0,2,0,0,1,23,1,12,16,8,1,0,1,7,9
2,35,0,25,0,40,0,0,4,1,4,2,32,84,0,0,0,0,28,26,3,16,4,12,5,1,6,0,1,10,0,16,0,39,3,3,6,14,4,3,39,28,24,3,1,19,0,17,0,7,2,5,2,4,1,2,14,82,1,9,0,3,13,6,1,5,42,29,7,26,1,3,29,0,67,6,0,6,0,2,31,0,3,2,2,0,16,1,20,17,57,6,8,17,0,22,0,1,4,0,4,3,12,16,2,6,0,2,11,2,13,20,15,0,1,36,17,6
0,0,2,0,3,0,0,0,0,0,0,4,1,0,10,19,10,0,1,0,2,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,2,5,14,0,0,0,2,0,0,2,0,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,5,0,4,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,17,0,0,0,0,0,0,0,13,0,1,2
4,17,2,7,9,2,4,0,0,4,2,0,4,2,0,0,0,0,9,1,3,16,8,1,3,3,4,2,0,9,1,18,0,1,7,7,8,9,2,4,17,10,2,6,0,9,3,1,0,6,12,5,0,12,1,0,10,2,0,1,0,4,4,1,2,6,3,0,15,0,0,5,5,3,0,9,2,9,0,0,3,0,4,0,3,4,11,1,22,28,0,12,2,25,10,6,0,2,5,1,9,1,12,0,4,2,0,3,0,7,4,3,4,5,0,4,6,4
9,0,5,0,2,6,1,0,4,0,1,0,0,0,5,5,2,0,2,0,2,2,17,4,6,10,4,4,9,3,8,4,0,4,13,5,3,1,3,8,1,1,2,3,7,0,7,5,10,5,8,5,18,4,7,2,9,0,2,1,1,10,7,14,2,0,2,1,8,0,5,18,1,5,0,1,21,3,6,14,1,16,6,4,2,1,6,36,9,18,0,3,1,2,12,1,0,0,7,23,3,0,0,0,17,30,12,2,0,15,1,4,8,27,0,2,5,6
