Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,6,1,5,4,0,0,5,0,12,3,2,9,0,0,2,6,1,1,0,1,2,4,0,2,3,2,3,8,3,1,7,9,0,3,3,3,15,6,1,2,5,21,2,2,0,35,4,0,0,1,5,5,10,0,9,0,18,21,0,1,0,52,3,0,7,5,5,0,4,0,11,0,0,3,4,0,2,9,13,0,0,7,0,7,1,20,3,0,1,14
6,0,1,0,3,12,4,2,8,1,2,0,4,15,1,5,6,2,4,0,20,0,3,3,6,6,0,1,1,1,23,2,1,20,1,6,25,2,4,2,1,1,11,0,10,15,0,4,1,0,15,5,0,24,12,17,40,4,2,21,1,22,10,0,5,0,0,1,0,14,21,22,20,0,13,1,2,4,6,0,0,29,0,5,5,3,0,0,11,5,2
1,1,0,1,2,0,0,6,0,3,4,26,0,1,0,8,3,2,2,0,13,3,14,0,2,5,0,0,2,6,2,28,1,0,13,1,2,9,0,4,0,6,1,1,2,0,15,2,1,11,0,5,0,0,1,0,0,0,5,0,1,0,14,16,9,0,3,0,0,5,0,2,1,0,8,0,1,10,13,8,2,6,4,0,7,2,5,3,0,3,4
5,0,1,0,0,0,0,0,0,7,0,11,0,0,1,2,1,0,3,3,1,0,5,0,1,0,1,3,0,0,0,15,2,0,3,0,0,4,6,0,1,8,0,4,0,0,1,0,0,7,0,0,0,0,0,1,0,7,3,0,4,0,3,2,3,12,10,0,0,0,0,11,0,0,0,5,1,6,10,0,0,0,5,0,0,5,6,8,0,2,2
4,3,2,0,0,0,2,3,0,2,4,4,3,4,4,45,3,9,10,1,1,0,0,3,1,5,2,1,0,2,7,7,0,0,11,0,8,3,7,5,2,11,0,0,12,0,0,5,31,9,7,6,0,15,74,13,0,13,19,7,5,0,10,3,8,3,5,3,0,10,0,8,13,0,30,4,28,0,1,3,2,2,14,1,7,7,1,1,0,5,3
0,12,0,0,0,0,1,0,4,0,0,0,0,21,0,0,0,0,0,0,1,0,0,16,0,5,0,0,0,2,32,0,1,62,0,0,3,0,0,24,1,0,0,0,12,32,0,0,0,0,16,1,0,62,10,0,23,0,0,0,0,33,1,0,0,0,0,0,0,11,72,0,0,0,0,0,0,0,1,0,0,11,0,0,4,0,0,0,39,0,0
0,4,0,0,2,1,0,0,0,9,1,0,10,0,0,5,0,0,0,0,15,7,7,1,1,3,0,0,5,12,2,0,3,0,5,7,0,1,0,0,0,1,1,0,5,0,0,0,0,1,0,6,0,0,0,4,0,1,1,1,0,0,1,3,0,1,9,2,0,1,0,0,0,0,0,0,0,0,11,4,0,2,4,0,2,1,1,0,0,2,2
5,2,6,0,3,0,0,0,0,5,0,0,10,0,1,4,1,2,0,2,21,22,13,0,6,2,2,0,3,4,1,20,5,0,16,10,1,5,8,0,12,2,12,0,0,0,4,3,0,28,5,2,0,3,1,2,0,12,9,0,0,0,3,2,1,0,2,0,0,2,0,0,1,0,1,1,3,2,0,30,2,1,8,0,9,3,4,1,0,0,9
0,8,0,0,0,4,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,17,0,7,0,0,0,0,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,2,3,0,10,0,0,0,0,32,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0
12,1,3,7,2,0,9,5,0,0,1,6,1,0,1,12,1,1,7,2,4,8,41,0,4,4,7,1,1,1,7,2,22,0,7,16,0,4,1,3,9,3,2,0,3,0,3,1,1,0,0,13,7,1,0,3,0,10,5,0,0,0,18,4,1,8,0,3,0,6,0,1,2,0,5,1,13,1,8,9,1,2,7,0,1,8,7,0,0,6,13
