colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
4,6,F,0.00957592,0.09658,0.893844,0,0.239932,0.371653,0.388416,0.0251421,0.172122,0.802734
4,9,F,0.0406886,0.197183,0.762128,0.00312012,0.239932,0.371653,0.388416,0.0614565,0.239631,0.698901
4,14,F,0.0141309,0.129534,0.856335,0.00023546,0.239932,0.371653,0.388416,0.0315043,0.197025,0.77147
4,19,F,0.110262,0.359562,0.530176,0.00101755,0.239932,0.371653,0.388416,0.152548,0.383609,0.463842
4,23,F,0.0563246,0.211933,0.731742,0.00142993,0.239932,0.371653,0.388416,0.0855505,0.279749,0.634699
4,26,F,0.04884,0.194546,0.756614,0.000813339,0.239932,0.371653,0.388416,0.0735736,0.281856,0.644569
4,30,F,0.0147958,0.117655,0.867549,0,0.239932,0.371653,0.388416,0.0281647,0.189858,0.781976
4,32,F,0.0145498,0.098254,0.887196,0,0.239932,0.371653,0.388416,0.0202322,0.146454,0.833313
4,38,F,0.0432022,0.159028,0.79777,0.00185471,0.239932,0.371653,0.388416,0.0506657,0.208438,0.740895
4,43,F,0.0130358,0.120194,0.86677,0.000220897,0.239932,0.371653,0.388416,0.0366295,0.18701,0.776359
4,44,F,0.0557578,0.25503,0.689212,0.000574493,0.239932,0.371653,0.388416,0.0921667,0.279544,0.628289
4,64,F,0.0871143,0.22752,0.685365,0.000494723,0.239932,0.371653,0.388416,0.119593,0.313177,0.567229
4,73,F,0.0202047,0.117996,0.8618,0.000269324,0.239932,0.371653,0.388416,0.0196681,0.166819,0.813512
4,76,F,0.0317259,0.18198,0.786294,0,0.239932,0.371653,0.388416,0.0413604,0.230884,0.727754
4,91,F,0.0193853,0.11773,0.862884,0,0.239932,0.371653,0.388416,0.0322003,0.161898,0.805899
4,97,F,0.0895367,0.368558,0.541905,0.00121317,0.239932,0.371653,0.388416,0.129353,0.369169,0.501478
4,98,F,0.0337032,0.176471,0.789826,0.000627615,0.239932,0.371653,0.388416,0.0584069,0.237895,0.703697
4,100,F,0.0183516,0.160904,0.820744,0,0.239932,0.371653,0.388416,0.0309307,0.19882,0.770247
4,131,F,0.0179806,0.141079,0.840941,0,0.239932,0.371653,0.388416,0.0398034,0.190761,0.769434
4,142,F,0.0177468,0.108065,0.874188,0,0.239932,0.371653,0.388416,0.0244475,0.183272,0.792278
4,148,F,0.0166084,0.124563,0.858829,0,0.239932,0.371653,0.388416,0.0194414,0.159207,0.821345
4,149,F,0.0119441,0.0831004,0.904956,0,0.239932,0.371653,0.388416,0.0213755,0.179692,0.79893
4,176,F,0.0176157,0.162229,0.820156,0,0.239932,0.371653,0.388416,0.0438825,0.228551,0.727565
4,195,F,0.0373134,0.287313,0.675373,0.00740741,0.239932,0.371653,0.388416,0.087226,0.308341,0.604425
4,196,F,0.0536574,0.216464,0.729878,0.0004584,0.239932,0.371653,0.388416,0.0798369,0.277135,0.643027
4,198,F,0.0457516,0.212418,0.74183,0.000204207,0.239932,0.371653,0.388416,0.08052,0.263455,0.656024
4,202,F,0.0887651,0.362488,0.548747,0.000742253,0.239932,0.371653,0.388416,0.0778761,0.364219,0.557904
4,209,F,0.052366,0.276618,0.671016,0.00069541,0.239932,0.371653,0.388416,0.0722562,0.284379,0.643364
4,217,F,0.0127137,0.120123,0.867164,0,0.239932,0.371653,0.388416,0.0255664,0.176372,0.79806
4,232,F,0.0343355,0.23437,0.731295,0,0.239932,0.371653,0.388416,0.0426313,0.231659,0.725709
4,238,F,0.0110473,0.132346,0.856606,0,0.239932,0.371653,0.388416,0.0179945,0.179224,0.802781
4,252,F,0.0130641,0.140934,0.846002,0,0.239932,0.371653,0.388416,0.0201513,0.186587,0.793259
4,255,F,0.0192956,0.127871,0.852833,0,0.239932,0.371653,0.388416,0.0183553,0.186352,0.795291
4,257,F,0.0694908,0.268781,0.661728,0.000417188,0.239932,0.371653,0.388416,0.0853144,0.305961,0.608724
4,260,F,0.0233707,0.124359,0.852271,0.000284927,0.239932,0.371653,0.388416,0.0245847,0.142456,0.832958
4,263,F,0.0221392,0.207255,0.770605,0.000266667,0.239932,0.371653,0.388416,0.0241441,0.195733,0.780122
4,289,F,0.0335861,0.206934,0.75948,0.000216638,0.239932,0.371653,0.388416,0.0411114,0.212866,0.746021
4,294,F,0.00748363,0.05145,0.941066,0,0.239932,0.371653,0.388416,0.00756417,0.0897628,0.902661
4,308,F,0.0738033,0.278708,0.647489,0.000471365,0.239932,0.371653,0.388416,0.085359,0.279437,0.635203
